sku,texto,label,label_id,confianza,razon,title_repr,brand_repr,category_repr,n_obs,price_usd_mean,price_trend_pct,discount_mean,pct_used,main_source,sources
v1|366499190640|0,ASUS TUF GAMING Z790-PLUS WIFI ATX Motherboard LGA1700 DDR5 WiFi 6E Intel | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,0.667,en_riesgo_usado_protegido,ASUS TUF GAMING Z790-PLUS WIFI ATX Motherboard LGA1700 DDR5 WiFi 6E Intel,,,10,149.0,0.0,,1.0,ebay_usa,ebay_usa
v1|800340328011|0,ASUS TUF Gaming Z790-PLUS WiFi D4 LGA 1700 ATX Intel Motherboard | precio bajando: 10.7% | condicion usado: 100% | observaciones: 9,EN_RIESGO,1,0.833,en_riesgo_usado_protegido,ASUS TUF Gaming Z790-PLUS WiFi D4 LGA 1700 ATX Intel Motherboard,,,9,260.0,-10.71,,1.0,ebay_usa,ebay_usa
155552026,"Pc Ryzen 5 5500 Propc Ax61 Elite 16-512-24"" Geforce Rtx 3050 6Gb, W11Home | marca: generico | categoria: PROCESADORES | observaciones: 4",EN_RIESGO,1,0.667,en_riesgo,"Pc Ryzen 5 5500 Propc Ax61 Elite 16-512-24"" Geforce Rtx 3050 6Gb, W11Home",GENERICO,procesadores,4,2083.1025,0.04,0.0,0.0,falabella_pe,falabella_pe
B0DQSLHSP2,"ASUS The SFF-Ready Prime GeForce RTX 5080 OC Edition 16GB GDDR7 Graphics Card, NVIDIA, (PCIe 5.0, HDMI/DP 2.1, 2.5-Slot, Axial-tech Fans, Vapor Chamber, Dual BIOS) | categoria: GPU | observaciones: 3",VIGENTE,0,1.0,vigente,"ASUS The SFF-Ready Prime GeForce RTX 5080 OC Edition 16GB GDDR7 Graphics Card, NVIDIA, (PCIe 5.0, HDMI/DP 2.1, 2.5-Slot, Axial-tech Fans, Vapor Chamber, Dual BIOS)",,GPU,3,735.4333333333334,,,0.0,amazon_usa,amazon_usa
v1|127141637157|0,Sceptre 27 in Prime Gaming Monitor Quad HD 144 hz | condicion usado: 100% | observaciones: 10,OBSOLETO,2,0.5,obsoleto,Sceptre 27 in Prime Gaming Monitor Quad HD 144 hz,,,10,100.0,0.0,,1.0,ebay_usa,ebay_usa
B0D1K9H3H6,"Thermalright FW 240 White ARGB-240mm AIO CPU Liquid Cooler,IPS LCD Screen with 320 * 240 Resolution,for AM4/AM5,Intel LGA1700/1851,”2.4 inch”Screen for Images and Double Fans-White | precio bajando: 10.6% | categoria: COOLER | observaciones: 13",EN_RIESGO,1,0.833,en_riesgo,"Thermalright FW 240 White ARGB-240mm AIO CPU Liquid Cooler,IPS LCD Screen with 320 * 240 Resolution,for AM4/AM5,Intel LGA1700/1851,”2.4 inch”Screen for Images and Double Fans-White",,COOLER,13,68.99153846153847,-10.57,,0.0,amazon_usa,amazon_usa
v1|398187124311|0,ASRock AMD Radeon RX 7700 XT Challenger OC 12GB GDDR6 Graphics Card Tested Japan | precio subiendo: 10.2% | condicion usado: 100% | observaciones: 3,EN_RIESGO,1,0.667,en_riesgo_usado_protegido,ASRock AMD Radeon RX 7700 XT Challenger OC 12GB GDDR6 Graphics Card Tested Japan,,,3,422.32666666666665,10.16,,1.0,ebay_usa,ebay_usa
v1|398150096904|0,ASUS TUF Gaming B650E-PLUS WIFI Motherboard AMD -FOR PARTS / REPAIR / UNTESTED | precio bajando: 30.0% | observaciones: 10,OBSOLETO,2,0.667,obsoleto,ASUS TUF Gaming B650E-PLUS WIFI Motherboard AMD -FOR PARTS / REPAIR / UNTESTED,,,10,58.326999999999984,-30.0,,0.0,ebay_usa,ebay_usa
B0H6NTNWVX,"Dell Tower Plus EBT2250 Desktop Ai Computer - Series 2 Intel Core Ultra 9 285K 24-Core Processor up to 5.7 GHz, 32GB DDR5 RAM, 512GB NVMe SSD, GeForce RTX 5060 8GB GDDR7, Windows 11 Pro, Graphite | categoria: CPU | observaciones: 3",VIGENTE,0,1.0,vigente,"Dell Tower Plus EBT2250 Desktop Ai Computer - Series 2 Intel Core Ultra 9 285K 24-Core Processor up to 5.7 GHz, 32GB DDR5 RAM, 512GB NVMe SSD, GeForce RTX 5060 8GB GDDR7, Windows 11 Pro, Graphite",,CPU,3,1532.5033333333333,,,0.0,amazon_usa,amazon_usa
v1|127962587868|0,Lian Li A3-mATX PC Case - White Wood Edition - Supports 360mm AIO W/BeQuiet Fans | condicion usado: 100% | observaciones: 6,OBSOLETO,2,0.5,obsoleto,Lian Li A3-mATX PC Case - White Wood Edition - Supports 360mm AIO W/BeQuiet Fans,,,6,100.0,0.0,,1.0,ebay_usa,ebay_usa
v1|405598743041|0,"Acer Nitro XF273 27"" Full HD Monitor - Black | condicion usado: 100% | observaciones: 10",OBSOLETO,2,0.5,obsoleto,"Acer Nitro XF273 27"" Full HD Monitor - Black",,,10,100.0,0.0,,1.0,ebay_usa,ebay_usa
v1|117289668909|0,HP ZBook 8 G1i 16/Core Ultra 7 265H/Intel Arc Pro 140T/32 GB DDR5/512 GB SSD | condicion usado: 100% | observaciones: 7,VIGENTE,0,1.0,vigente_usado_protegido,HP ZBook 8 G1i 16/Core Ultra 7 265H/Intel Arc Pro 140T/32 GB DDR5/512 GB SSD,,,7,1480.0,0.0,,1.0,ebay_usa,ebay_usa
B0F7WB6LSH,"ASUS Dual NVIDIA GeForce RTX 5060 Ti 16GB GDDR7 OC Edition Graphics Card, (PCIe 5.0, DLSS 4, HDMI 2.1b, DisplayPort 2.1b, 2.5-Slot, Axial-tech Fan, 0dB Technology), 3 Year Warranty | categoria: GPU | observaciones: 3",VIGENTE,0,1.0,vigente,"ASUS Dual NVIDIA GeForce RTX 5060 Ti 16GB GDDR7 OC Edition Graphics Card, (PCIe 5.0, DLSS 4, HDMI 2.1b, DisplayPort 2.1b, 2.5-Slot, Axial-tech Fan, 0dB Technology), 3 Year Warranty",,GPU,3,295.20666666666665,,,0.0,amazon_usa,amazon_usa
v1|375456955443|0,For ASRock Z790 Steel Legend WiFi Motherboard LGA 1700 Intel Z790 DDR5 ATX | condicion usado: 100% | observaciones: 10,EN_RIESGO,1,0.667,en_riesgo_usado_protegido,For ASRock Z790 Steel Legend WiFi Motherboard LGA 1700 Intel Z790 DDR5 ATX,,,10,285.0,0.0,,1.0,ebay_usa,ebay_usa
