texto,label,confianza,decision_src,keywords_match,label_lexico,label_numerico,producto,marca,categoria,fuente,precio_usd,descuento,fecha,sku,url,source_file,label_id
"Procesador Intel Core i3-14100 4-Cores, 4.7 GHz, LGA1700 | marca: Intel | categoria: CPU | fuente: coolbox_pe | precio: 186.4 USD",EN_RIESGO,1.0,lexical,"i3-14, lga1700",EN_RIESGO,DESCONOCIDO,"Procesador Intel Core i3-14100 4-Cores, 4.7 GHz, LGA1700",Intel,CPU,coolbox_pe,186.4,0.0,2026-07-17 03:13:00,10048086,https://www.coolbox.pe/procesador-intel-core-i3-14100-4-cores-lga1700-cpili314100/p,precios_20260717_0313.csv,1
"Procesador AMD Ryzen 5 7600X 6 cores, 5.3Ghz, AM5 | marca: amd | categoria: CPU | fuente: coolbox_pe | precio: 279.73 USD",EN_RIESGO,0.5,lexical,ryzen 5 7600,EN_RIESGO,DESCONOCIDO,"Procesador AMD Ryzen 5 7600X 6 cores, 5.3Ghz, AM5",amd,CPU,coolbox_pe,279.73,0.0,2026-07-17 03:13:00,10047106,https://www.coolbox.pe/procesador-amd-ryzen-5-7600x-6-cores-cpam5r57600x/p,precios_20260717_0313.csv,1
"Procesador AMD Ryzen 5 5600G, 3.9Ghz, 6 cores, AM4 | marca: amd | categoria: CPU | fuente: coolbox_pe | precio: 239.73 USD",OBSOLETO,1.0,lexical,"ryzen 5 5600g, am4",OBSOLETO,DESCONOCIDO,"Procesador AMD Ryzen 5 5600G, 3.9Ghz, 6 cores, AM4",amd,CPU,coolbox_pe,239.73,0.0,2026-07-17 03:13:00,11439,https://www.coolbox.pe/procesador-amd-ryzen-5-5600g-cpam4r55600g/p,precios_20260717_0313.csv,2
"Procesador Intel Core Ultra 7 265KF, 5.5GHZ, 12+8 CORES, LGA1851 | marca: Intel | categoria: CPU | fuente: coolbox_pe | precio: 426.4 USD",VIGENTE,1.0,lexical,"core ultra, lga1851, ultra 7",VIGENTE,DESCONOCIDO,"Procesador Intel Core Ultra 7 265KF, 5.5GHZ, 12+8 CORES, LGA1851",Intel,CPU,coolbox_pe,426.4,0.0,2026-07-17 03:13:00,10057314,https://www.coolbox.pe/procesador-intel-core-ultra-7-265kf-cpilu7265kf/p,precios_20260717_0313.csv,0
"Procesador Intel Core i5-13400F, 2.5GHZ, 6+4 cores, LGA1700 | marca: Intel | categoria: CPU | fuente: coolbox_pe | precio: 253.07 USD",EN_RIESGO,1.0,lexical,"i5-13, lga1700",EN_RIESGO,DESCONOCIDO,"Procesador Intel Core i5-13400F, 2.5GHZ, 6+4 cores, LGA1700",Intel,CPU,coolbox_pe,253.07,0.0,2026-07-17 03:13:00,22041,https://www.coolbox.pe/procesador-intel-core-i5-13400f-cpili513400f/p,precios_20260717_0313.csv,1
"Procesador AMD Ryzen 5 8600G (IA), 5Ghz, 6 cores, AM5,  65W | marca: amd | categoria: CPU | fuente: coolbox_pe | precio: 306.4 USD",EN_RIESGO,0.5,lexical,ryzen 5 8600,EN_RIESGO,DESCONOCIDO,"Procesador AMD Ryzen 5 8600G (IA), 5Ghz, 6 cores, AM5,  65W",amd,CPU,coolbox_pe,306.4,0.0,2026-07-17 03:13:00,10044548,https://www.coolbox.pe/procesador-amd-ryzen5-8600g-ia-5ghz-6cores-cpam5r58600g/p,precios_20260717_0313.csv,1
"Procesador AMD ATHLON 3000G 3.5Ghz, 2 CORES, AM4 | marca: amd | categoria: CPU | fuente: coolbox_pe | precio: 58.4 USD",OBSOLETO,1.0,lexical,am4,OBSOLETO,DESCONOCIDO,"Procesador AMD ATHLON 3000G 3.5Ghz, 2 CORES, AM4",amd,CPU,coolbox_pe,58.4,0.0,2026-07-17 03:13:00,10043282,https://www.coolbox.pe/procesador-amd-athlon-3000g-cpam4nat3000g/p,precios_20260717_0313.csv,2
"Procesador Intel Core i5-14400 6+4-Cores, 4.7 GHz, LGA1700 | marca: Intel | categoria: CPU | fuente: coolbox_pe | precio: 306.4 USD",EN_RIESGO,1.0,lexical,"i5-14, lga1700",EN_RIESGO,DESCONOCIDO,"Procesador Intel Core i5-14400 6+4-Cores, 4.7 GHz, LGA1700",Intel,CPU,coolbox_pe,306.4,0.0,2026-07-17 03:13:00,10048087,https://www.coolbox.pe/procesador-intel-core-i5-14400-6-4-cores-lga1700-cpili514400/p,precios_20260717_0313.csv,1
"Procesador Intel Core i3-13100F, 4.5Ghz, 4+4 cores, LGA1700 | marca: Intel | categoria: CPU | fuente: coolbox_pe | precio: 146.4 USD | descuento: 1540%",EN_RIESGO,0.96,consensus,"i3-13, lga1700",EN_RIESGO,EN_RIESGO,"Procesador Intel Core i3-13100F, 4.5Ghz, 4+4 cores, LGA1700",Intel,CPU,coolbox_pe,146.4,15.4,2026-07-17 03:13:00,22034,https://www.coolbox.pe/procesador-intel-core-i3-13100f-cpili313100f/p,precios_20260717_0313.csv,1
"Procesador Intel Core Ultra 5 225F, 4.9GHZ, 4+6 CORES, LGA1851 | marca: Intel | categoria: CPU | fuente: coolbox_pe | precio: 306.4 USD",VIGENTE,1.0,lexical,"core ultra, lga1851, ultra 5",VIGENTE,DESCONOCIDO,"Procesador Intel Core Ultra 5 225F, 4.9GHZ, 4+6 CORES, LGA1851",Intel,CPU,coolbox_pe,306.4,0.0,2026-07-17 03:13:00,10057313,https://www.coolbox.pe/procesador-intel-core-ultra-5-225f-cpilu5225f/p,precios_20260717_0313.csv,0
"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5050, 8GB GDDR6, PCI Express 5.0 | marca: Asus | categoria: GPU | fuente: coolbox_pe | precio: 426.4 USD",VIGENTE,0.4,default,,DESCONOCIDO,DESCONOCIDO,"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5050, 8GB GDDR6, PCI Express 5.0",Asus,GPU,coolbox_pe,426.4,0.0,2026-07-17 03:13:00,10067840,https://www.coolbox.pe/tarjeta-video-asus-dual-rtx-5050-8gb-gddr6-pcie-5-0-dual-rtx5050o8g/p,precios_20260717_0313.csv,0
"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5060, 8GB GDDR7, PCI Express 5.0 | marca: Asus | categoria: GPU | fuente: coolbox_pe | precio: 495.73 USD",VIGENTE,1.0,lexical,rtx 5060,VIGENTE,DESCONOCIDO,"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5060, 8GB GDDR7, PCI Express 5.0",Asus,GPU,coolbox_pe,495.73,0.0,2026-07-17 03:13:00,10067839,https://www.coolbox.pe/tarjeta-video-asus-dual-rtx-5060-8gb-gddr7-pcie-5-0-dual-rtx5060o8g/p,precios_20260717_0313.csv,0
Memoria RAM TeamGroup Elite SODIMM 16GB DDR4 3200Mhz CL22 1.2v | marca: Teamgroup | categoria: RAM | fuente: coolbox_pe | precio: 106.4 USD,OBSOLETO,1.0,lexical,ddr4,OBSOLETO,DESCONOCIDO,Memoria RAM TeamGroup Elite SODIMM 16GB DDR4 3200Mhz CL22 1.2v,Teamgroup,RAM,coolbox_pe,106.4,0.0,2026-07-17 03:13:00,10066164,https://www.coolbox.pe/memoria-ram-teamgroup-elite-sodimm-16gb-ddr4-me16gtg3200c22s/p,precios_20260717_0313.csv,2
Memoria Ram para Laptop Kingston KCP 16GB DDR4 3200Mhz SODIMM | marca: Kingston | categoria: RAM | fuente: coolbox_pe | precio: 141.07 USD,OBSOLETO,1.0,lexical,ddr4,OBSOLETO,DESCONOCIDO,Memoria Ram para Laptop Kingston KCP 16GB DDR4 3200Mhz SODIMM,Kingston,RAM,coolbox_pe,141.07,0.0,2026-07-17 03:13:00,10048431,https://www.coolbox.pe/memoria-ram-para-laptop-kingston-kcp-16gb-ddr4-me16kcp432ss816/p,precios_20260717_0313.csv,2
"Memoria RAM Kingston Fury Beast 8GB (1x8GB), DDR4, 3200Mhz, CL14 | marca: Kingston | categoria: RAM | fuente: coolbox_pe | precio: 98.4 USD",OBSOLETO,1.0,lexical,ddr4,OBSOLETO,DESCONOCIDO,"Memoria RAM Kingston Fury Beast 8GB (1x8GB), DDR4, 3200Mhz, CL14",Kingston,RAM,coolbox_pe,98.4,0.0,2026-07-17 03:13:00,12209,https://www.coolbox.pe/memoria-ram-kingston-fury-beast-8gb-me8gkf432c16bb8/p,precios_20260717_0313.csv,2
"Memoria ram Kingston Fury Beast 16GB (1x16GB), DDR4, 3200Mhz, CL16 | marca: Kingston | categoria: RAM | fuente: coolbox_pe | precio: 186.4 USD",OBSOLETO,1.0,lexical,ddr4,OBSOLETO,DESCONOCIDO,"Memoria ram Kingston Fury Beast 16GB (1x16GB), DDR4, 3200Mhz, CL16",Kingston,RAM,coolbox_pe,186.4,0.0,2026-07-17 03:13:00,12208,https://www.coolbox.pe/memoria-ram-kingston-fury-beast-16gb-me16gkf432c16bf/p,precios_20260717_0313.csv,2
Memoria RAM TeamGroup T-Force Vulcan Z 8GB DDR4 3200Mhz CL16 1.35v | marca: Teamgroup | categoria: RAM | fuente: coolbox_pe | precio: 98.4 USD,OBSOLETO,1.0,lexical,ddr4,OBSOLETO,DESCONOCIDO,Memoria RAM TeamGroup T-Force Vulcan Z 8GB DDR4 3200Mhz CL16 1.35v,Teamgroup,RAM,coolbox_pe,98.4,0.0,2026-07-17 03:13:00,10066165,https://www.coolbox.pe/memoria-ram-teamgroup-t-force-vulcan-8gb-ddr4-me8gtfgd48g3200/p,precios_20260717_0313.csv,2
"Memoria ram para laptop Kingston KCP 8GB DDR4, 3200Mhz | marca: Kingston | categoria: RAM | fuente: coolbox_pe | precio: 79.73 USD",OBSOLETO,1.0,lexical,ddr4,OBSOLETO,DESCONOCIDO,"Memoria ram para laptop Kingston KCP 8GB DDR4, 3200Mhz",Kingston,RAM,coolbox_pe,79.73,0.0,2026-07-17 03:13:00,24382,https://www.coolbox.pe/memoria-ram-laptop-kingston-kcp-8gb-ddr4-me8gkcp432ss68/p,precios_20260717_0313.csv,2
"Memoria RAM Kingston KVR 8GB, DDR4, 3200MT/s, CL22, SODIMM | marca: Kingston | categoria: RAM | fuente: coolbox_pe | precio: 98.4 USD",OBSOLETO,1.0,lexical,ddr4,OBSOLETO,DESCONOCIDO,"Memoria RAM Kingston KVR 8GB, DDR4, 3200MT/s, CL22, SODIMM",Kingston,RAM,coolbox_pe,98.4,0.0,2026-07-17 03:13:00,10066291,https://www.coolbox.pe/memoria-ram-kingston-kvr-8gb-ddr4-sodimm-me8gkvr32s22swp/p,precios_20260717_0313.csv,2
"Unidad de estado sólido SSD Kingston SSD A400 960GB de capacidad, 2.5"", SATA3 | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 125.07 USD",VIGENTE,0.4,default,,DESCONOCIDO,DESCONOCIDO,"Unidad de estado sólido SSD Kingston SSD A400 960GB de capacidad, 2.5"", SATA3",Kingston,SSD,coolbox_pe,125.07,0.0,2026-07-17 03:13:00,4985,https://www.coolbox.pe/disco-interno-solido-kingston-a400-960gb-sa400s37960gb/p,precios_20260717_0313.csv,0
Unidad de estado sólido SSD Kingston NV3 1000GB M.2 PCIE4.0 NVME | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 175.73 USD,VIGENTE,0.4,default,,DESCONOCIDO,DESCONOCIDO,Unidad de estado sólido SSD Kingston NV3 1000GB M.2 PCIE4.0 NVME,Kingston,SSD,coolbox_pe,175.73,0.0,2026-07-17 03:13:00,10051503,https://www.coolbox.pe/ssd-kingston-nv3-1000gb-m-2-pcie4-0-nvme-snv3s1000g/p,precios_20260717_0313.csv,0
"Unidad de estado sólido SSD Kingston A400 240GB de capacidad, 2.5"", SATA3 | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 74.4 USD",VIGENTE,0.4,default,,DESCONOCIDO,DESCONOCIDO,"Unidad de estado sólido SSD Kingston A400 240GB de capacidad, 2.5"", SATA3",Kingston,SSD,coolbox_pe,74.4,0.0,2026-07-17 03:13:00,4338,https://www.coolbox.pe/disco-interno-de-estado-solido-kingston-ssd-a400-240gb-sa400s37240g/p,precios_20260717_0313.csv,0
Unidad de estado sólido SSD Kingston NV3 2000GB M.2 PCIE4.0 NVME | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 266.4 USD,VIGENTE,0.4,default,,DESCONOCIDO,DESCONOCIDO,Unidad de estado sólido SSD Kingston NV3 2000GB M.2 PCIE4.0 NVME,Kingston,SSD,coolbox_pe,266.4,0.0,2026-07-17 03:13:00,10051504,https://www.coolbox.pe/ssd-kingston-nv3-2000gb-m-2-pcie4-0-nvme-snv3s2000g/p,precios_20260717_0313.csv,0
"Unidad de estado sólido SSD Kingston Ssd A400 480GB de capacidad , 2.5"", SATA3 | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 117.07 USD",VIGENTE,0.4,default,,DESCONOCIDO,DESCONOCIDO,"Unidad de estado sólido SSD Kingston Ssd A400 480GB de capacidad , 2.5"", SATA3",Kingston,SSD,coolbox_pe,117.07,0.0,2026-07-17 03:13:00,4339,https://www.coolbox.pe/disco-interno-de-estado-solido-kingston-ssd-a400-480gb-sa400s37480g/p,precios_20260717_0313.csv,0
Unidad de estado sólido SSD Kingston NV3 500GB M.2 PCIE4.0 NVME | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 149.07 USD,VIGENTE,0.4,default,,DESCONOCIDO,DESCONOCIDO,Unidad de estado sólido SSD Kingston NV3 500GB M.2 PCIE4.0 NVME,Kingston,SSD,coolbox_pe,149.07,0.0,2026-07-17 03:13:00,10051505,https://www.coolbox.pe/ssd-kingston-nv3-500gb-m-2-pcie4-0-nvme-snv3s500g/p,precios_20260717_0313.csv,0
Unidad de estado sólido SSD Kingston Fury Renegade G5 1TB M.2 PCIE5 NVME 2280 | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 293.07 USD,VIGENTE,0.4,default,,DESCONOCIDO,DESCONOCIDO,Unidad de estado sólido SSD Kingston Fury Renegade G5 1TB M.2 PCIE5 NVME 2280,Kingston,SSD,coolbox_pe,293.07,0.0,2026-07-17 03:13:00,10057981,https://www.coolbox.pe/ssd-kingston-fury-renegade-g5-1tb-m-2-pcie5-nvme-2280-sfyr2s1t0/p,precios_20260717_0313.csv,0
"Placa madre MSI PRO B650M-P, socket AM5, DDR5 hasta 192GB, factor micro-ATX, 2x M.2 PCIe 4.0, LAN 2.5G, HDMI y DisplayPort | marca: Msi | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 133.07 USD",VIGENTE,1.0,lexical,"am5, ddr5",VIGENTE,DESCONOCIDO,"Placa madre MSI PRO B650M-P, socket AM5, DDR5 hasta 192GB, factor micro-ATX, 2x M.2 PCIe 4.0, LAN 2.5G, HDMI y DisplayPort",Msi,MOTHERBOARD,coolbox_pe,133.07,0.0,2026-07-17 03:13:00,10048103,https://www.coolbox.pe/placa-madre-msi-pro-b650m-p-am5-ddr5-matx-mbmsb650m-p/p,precios_20260717_0313.csv,0
"Placa madre Asrock A520M-HDV AM4, DDR4 MATX | marca: Asrock | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 63.73 USD",OBSOLETO,1.0,lexical,"am4, ddr4",OBSOLETO,DESCONOCIDO,"Placa madre Asrock A520M-HDV AM4, DDR4 MATX",Asrock,MOTHERBOARD,coolbox_pe,63.73,0.0,2026-07-17 03:13:00,10047116,https://www.coolbox.pe/placa-madre-asrock-a520m-5014675/p,precios_20260717_0313.csv,2
"Placa Madre MSI PRO A620M-E Socket AM5, DDR5, Micro-ATX, PCIe 4.0, RAID SATA, Ranura M.2, HDMI 2.1, LAN Realtek | marca: Msi | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 106.4 USD",VIGENTE,1.0,lexical,"am5, ddr5",VIGENTE,DESCONOCIDO,"Placa Madre MSI PRO A620M-E Socket AM5, DDR5, Micro-ATX, PCIe 4.0, RAID SATA, Ranura M.2, HDMI 2.1, LAN Realtek",Msi,MOTHERBOARD,coolbox_pe,106.4,0.0,2026-07-17 03:13:00,10048420,https://www.coolbox.pe/placa-madre-msi-a620m-e-ddr5-matx-am5-mbmsa620m-epro/p,precios_20260717_0313.csv,0
"Placa madre Asrock Prime B860M-A LGA1851, DDR5, MATX | marca: Asrock | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 186.4 USD",VIGENTE,1.0,lexical,"lga1851, ddr5",VIGENTE,DESCONOCIDO,"Placa madre Asrock Prime B860M-A LGA1851, DDR5, MATX",Asrock,MOTHERBOARD,coolbox_pe,186.4,0.0,2026-07-17 03:13:00,10057318,https://www.coolbox.pe/placa-madre-asrock-b860m-a-lga1851-ddr5-matx-mbasb860m-a/p,precios_20260717_0313.csv,0
"Placa madre Gigabyte B550M-K AM4, DDR4 (reempacado) | marca: Gigabyte | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 89.79 USD | descuento: 2500%",OBSOLETO,1.0,lexical_wins,"am4, ddr4",OBSOLETO,EN_RIESGO,"Placa madre Gigabyte B550M-K AM4, DDR4 (reempacado)",Gigabyte,MOTHERBOARD,coolbox_pe,89.79,25.0,2026-07-17 03:13:00,10067162,https://www.coolbox.pe/reempacado-placa-madre-gigabyte-b550m-k-am4-ddr4-ree-mbgbb550mk/p,precios_20260717_0313.csv,2
