texto,label,label_id,confianza,title,brand,category,source,price_usd,sku,vector_idx
"Gigastone 2TB Game Turbo PCIe Gen4x4 SSD (2-Pack) Up to 7,300MB/s with SLC Caching Gaming/PC/Desktop/Laptop 5-Year Warranty M.2 NVMe PCIe 4.0 2280 Internal Solid State Drive | categoria: SSD | fuente: amazon_usa | precio: 600.0 USD",EN_RIESGO,1,0.667,"Gigastone 2TB Game Turbo PCIe Gen4x4 SSD (2-Pack) Up to 7,300MB/s with SLC Caching Gaming/PC/Desktop/Laptop 5-Year Warranty M.2 NVMe PCIe 4.0 2280 Internal Solid State Drive",,SSD,amazon_usa,599.99,B0FP5B6R9H,0
KC3000 SSD 2048GB M.2 2280 PCIe 4.0 NVMe - Velocidad y capacidad excepcionales | marca: kingston | categoria: DISCOS_SSD | fuente: falabella_pe | precio: 1228.0 USD,EN_RIESGO,1,0.667,KC3000 SSD 2048GB M.2 2280 PCIe 4.0 NVMe - Velocidad y capacidad excepcionales,KINGSTON,discos_ssd,falabella_pe,1228.02,154123264,1
"SABRENT Rocket 2242 2TB NVMe SSD, PCIe 4.0 x4 M.2 2242 Internal Solid State Drive, TLC NAND, Up to 7300MB/s Read & 6400MB/s Write, Compact SSD for Laptops, Mini PCs & Handheld Devices (SB-2742-2TB) | categoria: SSD | fuente: amazon_usa | precio: 320.0 USD",EN_RIESGO,1,0.667,"SABRENT Rocket 2242 2TB NVMe SSD, PCIe 4.0 x4 M.2 2242 Internal Solid State Drive, TLC NAND, Up to 7300MB/s Read & 6400MB/s Write, Compact SSD for Laptops, Mini PCs & Handheld Devices (SB-2742-2TB)",,SSD,amazon_usa,319.99,B0GRCHBPYQ,2
"Phantom Gaming PC Desktop Computer, Intel Core Ultra 7 265K, GeForce RTX 5080, 32GB DDR5, 2TB SSD, Tower Fan Black, Windows 11 Home, RGB Lighting, WiFi, Ready to Use | categoria: CPU | fuente: amazon_usa | precio: 4959.0 USD",VIGENTE,0,1.0,"Phantom Gaming PC Desktop Computer, Intel Core Ultra 7 265K, GeForce RTX 5080, 32GB DDR5, 2TB SSD, Tower Fan Black, Windows 11 Home, RGB Lighting, WiFi, Ready to Use",,CPU,amazon_usa,4959.0,B0H5CKMXHJ,3
COMPUTADORA INTEL INTEL CORE I7 RAM 16GB PC GAMER CORE I7 DISCO 1TB+SSD 480GB VIDEO MONITOR 27 CURVO RX 580 8GB | marca: intel | categoria: COMPUTADORAS | fuente: ripley_pe | precio: 1011.5 USD,OBSOLETO,2,0.333,COMPUTADORA INTEL INTEL CORE I7 RAM 16GB PC GAMER CORE I7 DISCO 1TB+SSD 480GB VIDEO MONITOR 27 CURVO RX 580 8GB,INTEL,computadoras,ripley_pe,1011.5,2694588,4
Intel core i7-14700k LGA1700 16c/28t support gigabyte Z790 AORUS PRO X | fuente: ebay_usa | precio: 575.7 USD,EN_RIESGO,1,0.667,Intel core i7-14700k LGA1700 16c/28t support gigabyte Z790 AORUS PRO X,,,ebay_usa,575.67,v1|389764313733|0,5
ASUS ROG Strix G16 Gaming Laptop RTX 4060 i7-13650HX 16GB RAM 512GB SSD Win 11 | fuente: ebay_usa | precio: 1449.0 USD,EN_RIESGO,1,0.667,ASUS ROG Strix G16 Gaming Laptop RTX 4060 i7-13650HX 16GB RAM 512GB SSD Win 11,,,ebay_usa,1449.0,v1|117293662940|0,6
Intel Xeon E3 1225 V2 E3-1225V2 Used  3.2 GHz Quad-Core Quad-Thread  8M 77W CPU processor LGA 1155 | categoria: CPU | fuente: aliexpress | precio: 15.7 USD,OBSOLETO,2,0.667,Intel Xeon E3 1225 V2 E3-1225V2 Used  3.2 GHz Quad-Core Quad-Thread  8M 77W CPU processor LGA 1155,,CPU,aliexpress,15.67,3256810173772372,7
Computadora PC Gamer RYZEN 7 7700X RAM 32GB DDR5 SSD 1TB GRAFICA RTX 5070 12GB | marca: amd | categoria: PROCESADORES | fuente: falabella_pe | precio: 3097.3 USD,VIGENTE,0,1.0,Computadora PC Gamer RYZEN 7 7700X RAM 32GB DDR5 SSD 1TB GRAFICA RTX 5070 12GB,AMD,procesadores,falabella_pe,3097.35,142771744,8
Intel Core i3 4170 3.7GHz Dual-Core SR1PL LGA 1150 CPU Processor | categoria: CPU | fuente: aliexpress | precio: 3.3 USD,OBSOLETO,2,0.333,Intel Core i3 4170 3.7GHz Dual-Core SR1PL LGA 1150 CPU Processor,,CPU,aliexpress,3.33,3256807268001409,9
Corsair Vengeance (2 X 4GB) 8GB PC3-12800 DDR3. | fuente: ebay_usa | precio: 21.9 USD,OBSOLETO,2,0.667,Corsair Vengeance (2 X 4GB) 8GB PC3-12800 DDR3.,,,ebay_usa,21.95,v1|197367028551|0,10
"Tarjeta de video Dual GeForce RTX 5060 8GB GDDR7, PCI Express Gen 5.0 | marca: asus | categoria: TARJETAS_VIDEO | fuente: falabella_pe | precio: 1167.9 USD",VIGENTE,0,1.0,"Tarjeta de video Dual GeForce RTX 5060 8GB GDDR7, PCI Express Gen 5.0",ASUS,tarjetas_video,falabella_pe,1167.94,155252533,11
