sku,producto,marca,categoria,precio_local_pen,precio_import_usd,label_obsolescencia,rank_obsolescencia,roi_unitario_pct,ganancia_unitaria,score_roi_ponderado,rank_roi,roi_pct_con,roi_pct_agr,gap_pct,gap_usd,gap_pct_real,conviene_local,match_score,in_pareto_front,pareto_roi_pct,pareto_riesgo,pareto_tipo,fuzzy_score_roi,fuzzy_score_pe3c,fuzzy_score_pareto,score_oe9,rank_oe9,r_j,p_vigente,p_en_riesgo,p_obsoleto,label_pred,precio_venta_usd,precio_costo_usd,ganancia_usd,roi_usd_pct
v1|257606519856|0,Gigabyte X870E AORUS ELITE WIFI7 AMD Socket AM5 DDR5 ATX Motherboard PCIe 5.0,,,700.0776923076924,123.64523076923076,VIGENTE,499,66.67,82.43015384615386,0.6667000000000001,250,53.336000000000006,80.004,0.0,0.0,0.0,1,0.5,0,66.67,1.5e-05,OPTIMO,0.22223333333333334,0.5,0.5,0.6888843333333333,1,1.5e-05,0.999975,9e-06,1.5e-05,VIGENTE,206.07538461538462,123.64523076923076,82.43015384615386,66.67
v1|257606519856|0,Gigabyte X870E AORUS ELITE WIFI7 AMD Socket AM5 DDR5 ATX Motherboard PCIe 5.0,,,700.0776923076924,123.64523076923076,VIGENTE,499,66.67,82.43015384615386,0.6667000000000001,250,53.336000000000006,80.004,0.0,0.0,0.0,1,0.5,0,66.67,1.5e-05,OPTIMO,0.22223333333333334,0.5,0.5,0.6888843333333333,2,1.5e-05,0.999975,9e-06,1.5e-05,VIGENTE,206.07538461538462,123.64523076923076,82.43015384615386,66.67
v1|127974672750|0,Gigabyte X870 AORUS ELITE WIFI7 AMD AM5 ATX Motherboard DDR5 PCIe 5.0,,,655.598,115.68,VIGENTE,498,66.67,77.12,0.6667000000000001,250,53.336000000000006,80.004,0.0,0.0,0.0,1,0.5,0,66.67,2.6e-05,OPTIMO,0.22223333333333334,0.5,0.5,0.6888777333333334,3,2.6e-05,0.999957,1.8e-05,2.6e-05,VIGENTE,192.8,115.68,77.12,66.67
v1|377313978396|0,New Gigabyte X870 AORUS ELITE WIFI7 AMD AM5 ATX Motherboard DDR5 PCIe 5.0,,,679.7714285714285,120.0,VIGENTE,496,66.67,80.0,0.6667000000000001,250,53.336000000000006,80.004,0.0,0.0,0.0,1,0.5,0,66.67,3.5e-05,OPTIMO,0.22223333333333334,0.5,0.5,0.6888723333333333,4,3.5e-05,0.999941,2.3e-05,3.5e-05,VIGENTE,200.0,120.0,80.0,66.67
v1|377313978396|0,New Gigabyte X870 AORUS ELITE WIFI7 AMD AM5 ATX Motherboard DDR5 PCIe 5.0,,,679.7714285714285,120.0,VIGENTE,496,66.67,80.0,0.6667000000000001,250,53.336000000000006,80.004,0.0,0.0,0.0,1,0.5,0,66.67,3.5e-05,OPTIMO,0.22223333333333334,0.5,0.5,0.6888723333333333,5,3.5e-05,0.999941,2.3e-05,3.5e-05,VIGENTE,200.0,120.0,80.0,66.67
v1|147233438464|0,GIGABYTE X870E AORUS Elite WIFI7 AM5 ATX DDR5 Motherboard 4x M.2 PCIe 5.0,,,788.0961538461538,139.194,VIGENTE,494,66.67,92.79599999999999,0.6667000000000001,250,53.336000000000006,80.004,0.0,0.0,0.0,1,0.5,0,66.67,7.4e-05,OPTIMO,0.22223333333333334,0.5,0.5,0.6888489333333333,6,7.4e-05,0.999877,5e-05,7.4e-05,VIGENTE,231.98999999999998,139.194,92.79599999999999,66.67
v1|147233438464|0,GIGABYTE X870E AORUS Elite WIFI7 AM5 ATX DDR5 Motherboard 4x M.2 PCIe 5.0,,,788.0961538461538,139.194,VIGENTE,494,66.67,92.79599999999999,0.6667000000000001,250,53.336000000000006,80.004,0.0,0.0,0.0,1,0.5,0,66.67,7.4e-05,OPTIMO,0.22223333333333334,0.5,0.5,0.6888489333333333,7,7.4e-05,0.999877,5e-05,7.4e-05,VIGENTE,231.98999999999998,139.194,92.79599999999999,66.67
155177007,"Prime RTX 5070 Ti - Tarjeta Gráfica NVIDIA GeForce - PCIe 5.0, GDDR7, HDMI y DisplayP",ASUS,tarjetas_video,7568.090909090909,1328.4999999999998,VIGENTE,493,66.67,885.6666666666667,0.6667000000000001,250,53.336000000000006,80.004,0.0,0.0,0.0,1,0.5,0,66.67,7.6e-05,OPTIMO,0.22223333333333334,0.5,0.5,0.6888477333333334,8,7.6e-05,0.999891,3.2e-05,7.6e-05,VIGENTE,2214.1666666666665,1328.4999999999998,885.6666666666667,66.67
v1|127974672750|0,Gigabyte X870 AORUS ELITE WIFI7 AMD AM5 ATX Motherboard DDR5 PCIe 5.0,,,655.598,115.68,VIGENTE,492,66.67,77.12,0.6667000000000001,250,53.336000000000006,80.004,0.0,0.0,0.0,1,0.5,0,66.67,7.7e-05,OPTIMO,0.22223333333333334,0.5,0.5,0.6888471333333334,9,7.7e-05,0.999861,6.2e-05,7.7e-05,VIGENTE,192.8,115.68,77.12,66.67
154977671,"Tarjeta de video GeForce RTX 5060 Ti EAGLE OC ICE 8G, 8 GB GDDR7, PCIe 5.0",GIGABYTE,tarjetas_video,2999.0,529.6873846153845,VIGENTE,491,66.67,353.1249230769231,0.6667000000000001,250,53.336000000000006,80.004,0.0,0.0,0.0,1,0.5,0,66.67,8.1e-05,OPTIMO,0.22223333333333334,0.5,0.5,0.6888447333333334,10,8.1e-05,0.999871,4.9e-05,8.1e-05,VIGENTE,882.8123076923076,529.6873846153845,353.1249230769231,66.67
