sku,producto,marca,categoria,precio_local_pen,precio_import_usd,label_obsolescencia,rank_obsolescencia,roi_unitario_pct,ganancia_unitaria,score_roi_ponderado,rank_roi,roi_pct_con,roi_pct_agr,gap_pct,gap_usd,gap_pct_real,conviene_local,match_score,in_pareto_front,pareto_roi_pct,pareto_riesgo,pareto_tipo,fuzzy_score_roi,fuzzy_score_pe3c,fuzzy_score_pareto,score_oe9,rank_oe9,r_j,p_vigente,p_en_riesgo,p_obsoleto,label_pred,precio_venta_usd,precio_costo_usd,ganancia_usd,roi_usd_pct
10047106,"Procesador AMD Ryzen 5 7600X 6 cores, 5.3Ghz, AM5",amd,CPU,309.32,228.13,EN_RIESGO,74,68.25,134.96,0.7368,109.0,50.31,13.8,35.58935694560119,81.19,-14.29679707414386,1.0,100.0,True,68.05,5.0362,normal,0.879121,0.998785,0.759259,0.747021,1,0.001215,0.996056,0.002729,0.001215,VIGENTE,309.32,228.13,81.19,35.5894
10051505,Unidad de estado sólido SSD Kingston NV3 500GB M.2 PCIE4.0 NVME,Kingston,SSD,299.97,97.97,VIGENTE,31,44.2,63.55,0.6073,347.0,,51.77,206.1855670103093,202.00000000000003,108.61673273523893,0.0,100.0,False,,,,0.810811,0.669239,0.0,0.401479,30,0.330761,0.65617,0.013068,0.330761,VIGENTE,299.97,97.97,202.00000000000003,206.1856
10067839,"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5060, 8GB GDDR7, PCI Express 5.0",Asus,GPU,498.97,178.32,VIGENTE,82,56.33,179.49,0.6398,268.0,,22.24,179.8171825930911,320.65000000000003,68.02599676724141,0.0,90.0,False,,,,0.732394,1.0,0.0,0.506338,19,0.0,1.0,0.0,0.0,VIGENTE,498.97,178.32,320.65000000000003,179.8172
10067840,"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5050, 8GB GDDR6, PCI Express 5.0",Asus,GPU,498.97,178.32,VIGENTE,81,56.33,179.49,0.6398,268.0,,22.24,179.8171825930911,320.65000000000003,68.02599676724141,0.0,90.0,False,,,,0.71831,0.999982,0.0,0.501401,22,1.8e-05,0.999973,9e-06,1.8e-05,VIGENTE,498.97,178.32,320.65000000000003,179.8172
10042119,"Fuente de poder Teros TE-7175W 750W, 80 Plus Gold, F. modular",Teros,PSU,168.87,49.94,VIGENTE,33,42.15,34.61,0.4861,779.0,,49.6,238.145774929916,118.93,105.63809059912325,0.0,100.0,False,,,,0.8,0.745293,0.0,0.428117,29,0.254707,0.192343,0.55295,0.254707,EN_RIESGO,168.87,49.94,118.93,238.1458
10057314,"Procesador Intel Core Ultra 7 265KF, 5.5GHZ, 12+8 CORES, LGA1851",Intel,CPU,471.5,200.0,VIGENTE,71,60.73,228.42,0.6847,185.0,,15.38,135.75,271.5,45.166256157635466,0.0,98.1818181818182,False,,,,0.754098,0.996262,0.0,0.512439,15,0.003738,0.993316,0.002946,0.003738,VIGENTE,471.5,200.0,271.5,135.75
11750,"Fuente de poder Seasonic A12, 600W, 80 Plus, blanco",Seasonic,PSU,93.69,28.05,VIGENTE,26,39.44,24.06,0.4669,857.0,,26.18,234.01069518716577,65.64,73.43576453165493,0.0,100.0,False,,,,0.709677,0.272399,0.0,0.207347,50,0.727601,0.157528,0.114871,0.727601,OBSOLETO,93.69,28.05,65.64,234.0107
10057317,"Placa madre Asrock Z890 PRO-A LGA1851, DDR5, ATX",Asrock,MOTHERBOARD,293.39,122.67,VIGENTE,76,60.13,76.15,0.64,267.0,43.05,68.54,139.1701312464335,170.71999999999997,67.16426414449319,0.0,100.0,False,,,,1.0,0.999393,0.0,0.599757,6,0.000607,0.998913,0.00048,0.000607,VIGENTE,293.39,122.67,170.71999999999997,139.1701
10048087,"Procesador Intel Core i5-14400 6+4-Cores, 4.7 GHz, LGA1700",Intel,CPU,338.81,200.12,EN_RIESGO,78,32.63,147.87,0.456,890.0,71.39,39.59,69.30341794923046,138.69,4.265271580243119,0.0,97.14285714285714,True,68.05,5.0362,normal,0.875,0.999787,0.735043,0.739926,3,0.000213,2.3e-05,0.999764,0.000213,EN_RIESGO,338.81,200.12,138.69,69.3034
10067164,"Fuente de poder Antryx Kirin 850 GOLD, 850W, 80 Plus Gold, modular (reempacado)",Antryx,PSU,120.91,33.49,EN_RIESGO,19,37.02,22.58,0.4498,902.0,,44.2,261.0331442221558,87.41999999999999,98.21311475409836,0.0,100.0,False,,,,1.0,0.038735,0.0,0.215494,48,0.961265,0.018966,0.019769,0.961265,OBSOLETO,120.91,33.49,87.41999999999999,261.0331
