sku,label,label_id,r_j,p_vigente,p_en_riesgo,p_obsoleto,label_pred,correct
B0FP5B6R9H,EN_RIESGO,1,0.72272,0.174309,0.102971,0.72272,OBSOLETO,0
154123264,EN_RIESGO,1,0.1342,0.082006,0.783794,0.1342,EN_RIESGO,1
B0GRCHBPYQ,EN_RIESGO,1,0.738521,0.127049,0.13443,0.738521,OBSOLETO,0
B0H5CKMXHJ,VIGENTE,0,0.00073,0.998734,0.000535,0.00073,VIGENTE,1
2694588,OBSOLETO,2,0.14746,0.799759,0.052781,0.14746,VIGENTE,0
v1|389764313733|0,EN_RIESGO,1,0.031117,0.025317,0.943566,0.031117,EN_RIESGO,1
v1|117293662940|0,EN_RIESGO,1,0.000917,7e-05,0.999012,0.000917,EN_RIESGO,1
3256810173772372,OBSOLETO,2,0.997119,0.001714,0.001167,0.997119,OBSOLETO,1
142771744,VIGENTE,0,0.099071,0.406457,0.494473,0.099071,EN_RIESGO,0
3256807268001409,OBSOLETO,2,0.985025,0.00376,0.011215,0.985025,OBSOLETO,1
v1|197367028551|0,OBSOLETO,2,0.394371,0.129084,0.476544,0.394371,EN_RIESGO,0
155252533,VIGENTE,0,0.004582,0.99293,0.002488,0.004582,VIGENTE,1
155200955,VIGENTE,0,0.002829,0.995313,0.001858,0.002829,VIGENTE,1
v1|327250408809|0,EN_RIESGO,1,0.089377,0.030283,0.88034,0.089377,EN_RIESGO,1
,OBSOLETO,2,0.999994,4e-06,2e-06,0.999994,OBSOLETO,1
152190007,VIGENTE,0,0.191991,0.756651,0.051358,0.191991,VIGENTE,1
152448349,EN_RIESGO,1,0.808622,0.103331,0.088047,0.808622,OBSOLETO,0
v1|398159157582|0,VIGENTE,0,0.001502,0.996938,0.00156,0.001502,VIGENTE,1
,OBSOLETO,2,0.01713,0.003056,0.979815,0.01713,EN_RIESGO,0
,OBSOLETO,2,0.160289,0.745082,0.094629,0.160289,VIGENTE,0
154327273,VIGENTE,0,0.096723,0.864148,0.039129,0.096723,VIGENTE,1
153277721,VIGENTE,0,0.00593,0.989431,0.004639,0.00593,VIGENTE,1
155252533,VIGENTE,0,0.018736,0.967367,0.013897,0.018736,VIGENTE,1
v1|127831476599|0,OBSOLETO,2,0.067866,0.039736,0.892398,0.067866,EN_RIESGO,0
140972977,EN_RIESGO,1,0.84922,0.079376,0.071405,0.84922,OBSOLETO,0
141162537,OBSOLETO,2,0.011553,0.001466,0.986981,0.011553,EN_RIESGO,0
3256809838517155,OBSOLETO,2,0.999791,0.000141,6.8e-05,0.999791,OBSOLETO,1
153095586,EN_RIESGO,1,0.069096,0.081434,0.84947,0.069096,EN_RIESGO,1
155000915,VIGENTE,0,0.008594,0.985148,0.006257,0.008594,VIGENTE,1
B0F6L84VNS,EN_RIESGO,1,0.073382,0.028489,0.898129,0.073382,EN_RIESGO,1
B0H13QCVJR,EN_RIESGO,1,0.002238,0.00031,0.997452,0.002238,EN_RIESGO,1
B0GJSFFLXZ,EN_RIESGO,1,0.872635,0.092693,0.034672,0.872635,OBSOLETO,0
v1|336130961309|0,VIGENTE,0,0.00033,0.999396,0.000275,0.00033,VIGENTE,1
139030683,OBSOLETO,2,0.246546,0.679297,0.074157,0.246546,VIGENTE,0
152189967,VIGENTE,0,0.024628,0.952401,0.022971,0.024628,VIGENTE,1
v1|296722931654|0,VIGENTE,0,0.000364,0.999309,0.000327,0.000364,VIGENTE,1
v1|254219753793|553607618438,OBSOLETO,2,0.011113,0.002362,0.986524,0.011113,EN_RIESGO,0
B0GK8NJ4RW,VIGENTE,0,0.02573,0.951742,0.022528,0.02573,VIGENTE,1
152452903,VIGENTE,0,0.000602,0.998971,0.000427,0.000602,VIGENTE,1
B0D1KN79NN,EN_RIESGO,1,0.227174,0.064229,0.708598,0.227174,EN_RIESGO,1
151847634,VIGENTE,0,0.003794,0.993358,0.002847,0.003794,VIGENTE,1
154329363,VIGENTE,0,0.775048,0.222684,0.002267,0.775048,OBSOLETO,0
v1|117134497063|0,VIGENTE,0,0.030546,0.940181,0.029273,0.030546,VIGENTE,1
152118334,VIGENTE,0,0.000454,0.999196,0.00035,0.000454,VIGENTE,1
v1|377333704523|0,EN_RIESGO,1,0.005041,0.001138,0.993821,0.005041,EN_RIESGO,1
v1|397949260006|0,EN_RIESGO,1,0.006511,0.004383,0.989106,0.006511,EN_RIESGO,1
147515856,OBSOLETO,2,0.999985,8e-06,7e-06,0.999985,OBSOLETO,1
148518993,VIGENTE,0,0.010679,0.975193,0.014128,0.010679,VIGENTE,1
3256805434942373,OBSOLETO,2,0.09565,0.121873,0.782477,0.09565,EN_RIESGO,0
v1|257602965068|0,EN_RIESGO,1,0.009312,0.001237,0.989451,0.009312,EN_RIESGO,1
,EN_RIESGO,1,0.99486,0.003255,0.001885,0.99486,OBSOLETO,0
3256808061786814,OBSOLETO,2,0.999999,1e-06,0.0,0.999999,OBSOLETO,1
B0H1JNLST2,VIGENTE,0,0.000316,0.999427,0.000256,0.000316,VIGENTE,1
153982632,OBSOLETO,2,0.999772,0.000147,8.1e-05,0.999772,OBSOLETO,1
152004679,VIGENTE,0,0.003236,0.995342,0.001423,0.003236,VIGENTE,1
152148723,OBSOLETO,2,0.850255,0.063163,0.086583,0.850255,OBSOLETO,1
,EN_RIESGO,1,0.001549,0.000169,0.998282,0.001549,EN_RIESGO,1
152004737,VIGENTE,0,0.000702,0.99881,0.000488,0.000702,VIGENTE,1
,OBSOLETO,2,0.995903,0.00245,0.001647,0.995903,OBSOLETO,1
3256808544559836,EN_RIESGO,1,0.074305,0.065165,0.860529,0.074305,EN_RIESGO,1
v1|298423101922|0,VIGENTE,0,0.001056,0.99776,0.001183,0.001056,VIGENTE,1
153727074,VIGENTE,0,0.030268,0.955683,0.014049,0.030268,VIGENTE,1
151124591,VIGENTE,0,0.184687,0.798955,0.016357,0.184687,VIGENTE,1
154798944,VIGENTE,0,0.001076,0.998152,0.000772,0.001076,VIGENTE,1
154327333,VIGENTE,0,0.013112,0.981051,0.005837,0.013112,VIGENTE,1
B0H2H4B1GX,EN_RIESGO,1,0.90815,0.054854,0.036996,0.90815,OBSOLETO,0
B0BLJHWVS3,EN_RIESGO,1,0.012027,0.005095,0.982878,0.012027,EN_RIESGO,1
,EN_RIESGO,1,0.002076,0.000131,0.997793,0.002076,EN_RIESGO,1
v1|267726095121|0,EN_RIESGO,1,0.009078,0.002038,0.988884,0.009078,EN_RIESGO,1
v1|397981223784|0,VIGENTE,0,0.000637,0.998794,0.000569,0.000637,VIGENTE,1
151971401,EN_RIESGO,1,0.158718,0.011258,0.830024,0.158718,EN_RIESGO,1
,OBSOLETO,2,0.99808,0.001048,0.000873,0.99808,OBSOLETO,1
,OBSOLETO,2,0.196743,0.13216,0.671097,0.196743,EN_RIESGO,0
131614801,EN_RIESGO,1,0.002506,0.000964,0.996529,0.002506,EN_RIESGO,1
152189901,VIGENTE,0,0.016584,0.979276,0.00414,0.016584,VIGENTE,1
v1|257547167748|0,VIGENTE,0,0.003274,0.994228,0.002498,0.003274,VIGENTE,1
v1|146753130552|445373540695,OBSOLETO,2,0.026632,0.00506,0.968307,0.026632,EN_RIESGO,0
,OBSOLETO,2,0.008382,0.000245,0.991374,0.008382,EN_RIESGO,0
138182836,OBSOLETO,2,0.970548,0.008605,0.020846,0.970548,OBSOLETO,1
20001048096,OBSOLETO,2,0.999428,0.000397,0.000175,0.999428,OBSOLETO,1
149072661,EN_RIESGO,1,0.042246,0.013423,0.944331,0.042246,EN_RIESGO,1
152398844,EN_RIESGO,1,0.990843,0.005638,0.003518,0.990843,OBSOLETO,0
v1|178314120076|0,VIGENTE,0,0.004082,0.991759,0.004159,0.004082,VIGENTE,1
v1|318551795798|0,EN_RIESGO,1,0.011177,0.002603,0.98622,0.011177,EN_RIESGO,1
3256808219783139,OBSOLETO,2,0.993835,0.003007,0.003157,0.993835,OBSOLETO,1
152676132,VIGENTE,0,0.005241,0.993326,0.001433,0.005241,VIGENTE,1
20001239884,OBSOLETO,2,0.999989,8e-06,3e-06,0.999989,OBSOLETO,1
152136727,EN_RIESGO,1,0.997503,0.001566,0.000931,0.997503,OBSOLETO,0
20001290948,OBSOLETO,2,0.998279,0.001148,0.000573,0.998279,OBSOLETO,1
115654249,OBSOLETO,2,0.838405,0.066571,0.095024,0.838405,OBSOLETO,1
B0GR4S7BYH,VIGENTE,0,0.000445,0.999299,0.000257,0.000445,VIGENTE,1
