sku,label_true,producto,marca,categoria,r_j,p_vigente,p_en_riesgo,p_obsoleto,label_pred,correct
10048086,EN_RIESGO,"Procesador Intel Core i3-14100 4-Cores, 4.7 GHz, LGA1700",Intel,CPU,0.00093,5.4e-05,0.999016,0.00093,EN_RIESGO,1
10047106,EN_RIESGO,"Procesador AMD Ryzen 5 7600X 6 cores, 5.3Ghz, AM5",amd,CPU,0.001215,0.996056,0.002729,0.001215,VIGENTE,0
11439,OBSOLETO,"Procesador AMD Ryzen 5 5600G, 3.9Ghz, 6 cores, AM4",amd,CPU,0.014657,0.946641,0.038701,0.014657,VIGENTE,0
10057314,VIGENTE,"Procesador Intel Core Ultra 7 265KF, 5.5GHZ, 12+8 CORES, LGA1851",Intel,CPU,0.003738,0.993316,0.002946,0.003738,VIGENTE,1
22041,EN_RIESGO,"Procesador Intel Core i5-13400F, 2.5GHZ, 6+4 cores, LGA1700",Intel,CPU,0.010557,0.017063,0.97238,0.010557,EN_RIESGO,1
10044548,EN_RIESGO,"Procesador AMD Ryzen 5 8600G (IA), 5Ghz, 6 cores, AM5,  65W",amd,CPU,0.020426,0.802719,0.176855,0.020426,VIGENTE,0
10043282,OBSOLETO,"Procesador AMD ATHLON 3000G 3.5Ghz, 2 CORES, AM4",amd,CPU,0.024301,0.958008,0.017691,0.024301,VIGENTE,0
10048087,EN_RIESGO,"Procesador Intel Core i5-14400 6+4-Cores, 4.7 GHz, LGA1700",Intel,CPU,0.000213,2.3e-05,0.999764,0.000213,EN_RIESGO,1
22034,EN_RIESGO,"Procesador Intel Core i3-13100F, 4.5Ghz, 4+4 cores, LGA1700",Intel,CPU,0.003142,0.000342,0.996516,0.003142,EN_RIESGO,1
10057313,VIGENTE,"Procesador Intel Core Ultra 5 225F, 4.9GHZ, 4+6 CORES, LGA1851",Intel,CPU,0.022729,0.92081,0.056462,0.022729,VIGENTE,1
10067840,VIGENTE,"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5050, 8GB GDDR6, PCI Express 5.0",Asus,GPU,1.8e-05,0.999973,9e-06,1.8e-05,VIGENTE,1
10067839,VIGENTE,"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5060, 8GB GDDR7, PCI Express 5.0",Asus,GPU,0.0,1.0,0.0,0.0,VIGENTE,1
10066164,OBSOLETO,Memoria RAM TeamGroup Elite SODIMM 16GB DDR4 3200Mhz CL22 1.2v,Teamgroup,RAM,0.012534,0.00198,0.985486,0.012534,EN_RIESGO,0
10048431,OBSOLETO,Memoria Ram para Laptop Kingston KCP 16GB DDR4 3200Mhz SODIMM,Kingston,RAM,0.007548,0.000583,0.99187,0.007548,EN_RIESGO,0
12209,OBSOLETO,"Memoria RAM Kingston Fury Beast 8GB (1x8GB), DDR4, 3200Mhz, CL14",Kingston,RAM,0.125978,0.078354,0.795668,0.125978,EN_RIESGO,0
12208,OBSOLETO,"Memoria ram Kingston Fury Beast 16GB (1x16GB), DDR4, 3200Mhz, CL16",Kingston,RAM,0.005457,0.000606,0.993937,0.005457,EN_RIESGO,0
10066165,OBSOLETO,Memoria RAM TeamGroup T-Force Vulcan Z 8GB DDR4 3200Mhz CL16 1.35v,Teamgroup,RAM,0.061063,0.018439,0.920498,0.061063,EN_RIESGO,0
24382,OBSOLETO,"Memoria ram para laptop Kingston KCP 8GB DDR4, 3200Mhz",Kingston,RAM,0.028906,0.006985,0.964109,0.028906,EN_RIESGO,0
10066291,OBSOLETO,"Memoria RAM Kingston KVR 8GB, DDR4, 3200MT/s, CL22, SODIMM",Kingston,RAM,0.139024,0.093596,0.76738,0.139024,EN_RIESGO,0
4985,VIGENTE,"Unidad de estado sólido SSD Kingston SSD A400 960GB de capacidad, 2.5"", SATA3",Kingston,SSD,0.997032,0.001799,0.001169,0.997032,OBSOLETO,0
