sku,producto,marca,categoria,label,precio_usd,fuente,label_true,label_pred,p_vigente,p_en_riesgo,p_obsoleto,r_j,correcto
12209,"Memoria RAM Kingston Fury Beast 8GB (1x8GB), DDR4, 3200Mhz, CL14",Kingston,RAM,OBSOLETO,98.4,coolbox_pe,OBSOLETO,OBSOLETO,0.0006,0.001,0.9984,0.9989,True
10066164,Memoria RAM TeamGroup Elite SODIMM 16GB DDR4 3200Mhz CL22 1.2v,Teamgroup,RAM,OBSOLETO,106.4,coolbox_pe,OBSOLETO,OBSOLETO,0.0006,0.001,0.9984,0.9989,True
11439,"Procesador AMD Ryzen 5 5600G, 3.9Ghz, 6 cores, AM4",amd,CPU,OBSOLETO,239.73,coolbox_pe,OBSOLETO,OBSOLETO,0.0006,0.0011,0.9983,0.9989,True
21224,"Placa madre Asrock H610M-HDV/M.2 R2.0, DDR4, M.2, LGA1700",Asrock,MOTHERBOARD,OBSOLETO,114.4,coolbox_pe,OBSOLETO,OBSOLETO,0.0006,0.001,0.9984,0.9989,True
10066291,"Memoria RAM Kingston KVR 8GB, DDR4, 3200MT/s, CL22, SODIMM",Kingston,RAM,OBSOLETO,98.4,coolbox_pe,OBSOLETO,OBSOLETO,0.0006,0.0011,0.9984,0.9989,True
24382,"Memoria ram para laptop Kingston KCP 8GB DDR4, 3200Mhz",Kingston,RAM,OBSOLETO,79.73,coolbox_pe,OBSOLETO,OBSOLETO,0.0006,0.001,0.9984,0.9989,True
10043282,"Procesador AMD ATHLON 3000G 3.5Ghz, 2 CORES, AM4",amd,CPU,OBSOLETO,58.4,coolbox_pe,OBSOLETO,OBSOLETO,0.0006,0.001,0.9984,0.9989,True
10066165,Memoria RAM TeamGroup T-Force Vulcan Z 8GB DDR4 3200Mhz CL16 1.35v,Teamgroup,RAM,OBSOLETO,98.4,coolbox_pe,OBSOLETO,OBSOLETO,0.0006,0.0011,0.9984,0.9989,True
10048431,Memoria Ram para Laptop Kingston KCP 16GB DDR4 3200Mhz SODIMM,Kingston,RAM,OBSOLETO,141.07,coolbox_pe,OBSOLETO,OBSOLETO,0.0006,0.001,0.9984,0.9989,True
10067162,"Placa madre Gigabyte B550M-K AM4, DDR4 (reempacado)",Gigabyte,MOTHERBOARD,OBSOLETO,89.79,coolbox_pe,OBSOLETO,OBSOLETO,0.0006,0.0013,0.9981,0.9988,True
10047116,"Placa madre Asrock A520M-HDV AM4, DDR4 MATX",Asrock,MOTHERBOARD,OBSOLETO,63.73,coolbox_pe,OBSOLETO,OBSOLETO,0.0007,0.001,0.9983,0.9988,True
12208,"Memoria ram Kingston Fury Beast 16GB (1x16GB), DDR4, 3200Mhz, CL16",Kingston,RAM,OBSOLETO,186.4,coolbox_pe,OBSOLETO,OBSOLETO,0.0008,0.001,0.9982,0.9987,True
22034,"Procesador Intel Core i3-13100F, 4.5Ghz, 4+4 cores, LGA1700",Intel,CPU,EN_RIESGO,146.4,coolbox_pe,EN_RIESGO,EN_RIESGO,0.0008,0.9981,0.0012,0.5002,True
10061042,"Placa madre Asrock H610M-HDV/M.2 R2.0, DDR4, M.2, LGA1700 (reempacado)",Asrock,MOTHERBOARD,EN_RIESGO,85.79,coolbox_pe,EN_RIESGO,EN_RIESGO,0.0009,0.9977,0.0013,0.5002,True
10054480,"Placa madre Advance MoDT ITX con Procesador (incorporado) Intel Core i5-13420H,  Wi-Fi HDMIx2/DP/VGA",Advance,MOTHERBOARD,EN_RIESGO,314.4,coolbox_pe,EN_RIESGO,EN_RIESGO,0.0007,0.9984,0.0009,0.5001,True
10067161,"Fuente de poder Seasonic A12 500W, 80 Plus White (reempacado)",Antryx,PSU,EN_RIESGO,49.79,coolbox_pe,EN_RIESGO,EN_RIESGO,0.0008,0.9983,0.0008,0.5,True
10047106,"Procesador AMD Ryzen 5 7600X 6 cores, 5.3Ghz, AM5",amd,CPU,EN_RIESGO,279.73,coolbox_pe,EN_RIESGO,EN_RIESGO,0.0008,0.9983,0.0009,0.5,True
10067158,"Reacondicionado: Cooler para procesador Antryx Mirage 410 ARGB, Intel/Amd",Antryx,COOLER,EN_RIESGO,17.2,coolbox_pe,EN_RIESGO,EN_RIESGO,0.0008,0.9984,0.0008,0.5,True
10054481,"Placa madre Advance MoDT ITX con Procesador (incorporado) Intel Core i7-13620H, Wi-Fi HDMIx2/DP/VGA",Advance,MOTHERBOARD,EN_RIESGO,359.73,coolbox_pe,EN_RIESGO,EN_RIESGO,0.0008,0.9984,0.0008,0.5,True
10067164,"Fuente de poder Antryx Kirin 850 GOLD, 850W, 80 Plus Gold, modular (reempacado)",Antryx,PSU,EN_RIESGO,109.79,coolbox_pe,EN_RIESGO,EN_RIESGO,0.0011,0.9981,0.0008,0.4999,True
27467,"Cooler para CPU Be Quiet! Dark Rock Slim BK024, LGA1700, AM5",Be Quiet,COOLER,EN_RIESGO,79.73,coolbox_pe,EN_RIESGO,EN_RIESGO,0.0009,0.9983,0.0008,0.4999,True
22041,"Procesador Intel Core i5-13400F, 2.5GHZ, 6+4 cores, LGA1700",Intel,CPU,EN_RIESGO,253.07,coolbox_pe,EN_RIESGO,EN_RIESGO,0.0009,0.9983,0.0008,0.4999,True
