texto,label,label_id,confianza,decision_src,keywords_match,producto,marca,categoria,fuente,precio_usd,sku,vector_idx,label_pred,p_vigente,p_en_riesgo,p_obsoleto,r_j
"Procesador Intel Core i3-14100 4-Cores, 4.7 GHz, LGA1700 | marca: Intel | categoria: CPU | fuente: coolbox_pe | precio: 186.4 USD",EN_RIESGO,1,1.0,lexical,"i3-14, lga1700","Procesador Intel Core i3-14100 4-Cores, 4.7 GHz, LGA1700",Intel,CPU,coolbox_pe,186.4,10048086,0,EN_RIESGO,0.0009,0.9984,0.0007,0.4999
"Procesador AMD Ryzen 5 7600X 6 cores, 5.3Ghz, AM5 | marca: amd | categoria: CPU | fuente: coolbox_pe | precio: 279.73 USD",EN_RIESGO,1,0.5,lexical,ryzen 5 7600,"Procesador AMD Ryzen 5 7600X 6 cores, 5.3Ghz, AM5",amd,CPU,coolbox_pe,279.73,10047106,1,EN_RIESGO,0.0008,0.9983,0.0009,0.5
"Procesador AMD Ryzen 5 5600G, 3.9Ghz, 6 cores, AM4 | marca: amd | categoria: CPU | fuente: coolbox_pe | precio: 239.73 USD",OBSOLETO,2,1.0,lexical,"ryzen 5 5600g, am4","Procesador AMD Ryzen 5 5600G, 3.9Ghz, 6 cores, AM4",amd,CPU,coolbox_pe,239.73,11439,2,OBSOLETO,0.0006,0.0011,0.9983,0.9989
"Procesador Intel Core Ultra 7 265KF, 5.5GHZ, 12+8 CORES, LGA1851 | marca: Intel | categoria: CPU | fuente: coolbox_pe | precio: 426.4 USD",VIGENTE,0,1.0,lexical,"core ultra, lga1851, ultra 7","Procesador Intel Core Ultra 7 265KF, 5.5GHZ, 12+8 CORES, LGA1851",Intel,CPU,coolbox_pe,426.4,10057314,3,VIGENTE,0.9966,0.0026,0.0009,0.0022
"Procesador Intel Core i5-13400F, 2.5GHZ, 6+4 cores, LGA1700 | marca: Intel | categoria: CPU | fuente: coolbox_pe | precio: 253.07 USD",EN_RIESGO,1,1.0,lexical,"i5-13, lga1700","Procesador Intel Core i5-13400F, 2.5GHZ, 6+4 cores, LGA1700",Intel,CPU,coolbox_pe,253.07,22041,4,EN_RIESGO,0.0009,0.9983,0.0008,0.4999
"Procesador AMD Ryzen 5 8600G (IA), 5Ghz, 6 cores, AM5,  65W | marca: amd | categoria: CPU | fuente: coolbox_pe | precio: 306.4 USD",EN_RIESGO,1,0.5,lexical,ryzen 5 8600,"Procesador AMD Ryzen 5 8600G (IA), 5Ghz, 6 cores, AM5,  65W",amd,CPU,coolbox_pe,306.4,10044548,5,EN_RIESGO,0.0009,0.9983,0.0008,0.4999
"Procesador AMD ATHLON 3000G 3.5Ghz, 2 CORES, AM4 | marca: amd | categoria: CPU | fuente: coolbox_pe | precio: 58.4 USD",OBSOLETO,2,1.0,lexical,am4,"Procesador AMD ATHLON 3000G 3.5Ghz, 2 CORES, AM4",amd,CPU,coolbox_pe,58.4,10043282,6,OBSOLETO,0.0006,0.001,0.9984,0.9989
"Procesador Intel Core i5-14400 6+4-Cores, 4.7 GHz, LGA1700 | marca: Intel | categoria: CPU | fuente: coolbox_pe | precio: 306.4 USD",EN_RIESGO,1,1.0,lexical,"i5-14, lga1700","Procesador Intel Core i5-14400 6+4-Cores, 4.7 GHz, LGA1700",Intel,CPU,coolbox_pe,306.4,10048087,7,EN_RIESGO,0.0009,0.9984,0.0008,0.4999
"Procesador Intel Core i3-13100F, 4.5Ghz, 4+4 cores, LGA1700 | marca: Intel | categoria: CPU | fuente: coolbox_pe | precio: 146.4 USD | descuento: 1540%",EN_RIESGO,1,0.96,consensus,"i3-13, lga1700","Procesador Intel Core i3-13100F, 4.5Ghz, 4+4 cores, LGA1700",Intel,CPU,coolbox_pe,146.4,22034,8,EN_RIESGO,0.0008,0.9981,0.0012,0.5002
"Procesador Intel Core Ultra 5 225F, 4.9GHZ, 4+6 CORES, LGA1851 | marca: Intel | categoria: CPU | fuente: coolbox_pe | precio: 306.4 USD",VIGENTE,0,1.0,lexical,"core ultra, lga1851, ultra 5","Procesador Intel Core Ultra 5 225F, 4.9GHZ, 4+6 CORES, LGA1851",Intel,CPU,coolbox_pe,306.4,10057313,9,VIGENTE,0.9978,0.0015,0.0008,0.0015
"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5050, 8GB GDDR6, PCI Express 5.0 | marca: Asus | categoria: GPU | fuente: coolbox_pe | precio: 426.4 USD",VIGENTE,0,0.4,default,,"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5050, 8GB GDDR6, PCI Express 5.0",Asus,GPU,coolbox_pe,426.4,10067840,10,VIGENTE,0.9981,0.0009,0.001,0.0014
"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5060, 8GB GDDR7, PCI Express 5.0 | marca: Asus | categoria: GPU | fuente: coolbox_pe | precio: 495.73 USD",VIGENTE,0,1.0,lexical,rtx 5060,"Tarjeta de video Asus Dual NVIDIA GeForce RTX 5060, 8GB GDDR7, PCI Express 5.0",Asus,GPU,coolbox_pe,495.73,10067839,11,VIGENTE,0.998,0.0009,0.0011,0.0015
Memoria RAM TeamGroup Elite SODIMM 16GB DDR4 3200Mhz CL22 1.2v | marca: Teamgroup | categoria: RAM | fuente: coolbox_pe | precio: 106.4 USD,OBSOLETO,2,1.0,lexical,ddr4,Memoria RAM TeamGroup Elite SODIMM 16GB DDR4 3200Mhz CL22 1.2v,Teamgroup,RAM,coolbox_pe,106.4,10066164,12,OBSOLETO,0.0006,0.001,0.9984,0.9989
Memoria Ram para Laptop Kingston KCP 16GB DDR4 3200Mhz SODIMM | marca: Kingston | categoria: RAM | fuente: coolbox_pe | precio: 141.07 USD,OBSOLETO,2,1.0,lexical,ddr4,Memoria Ram para Laptop Kingston KCP 16GB DDR4 3200Mhz SODIMM,Kingston,RAM,coolbox_pe,141.07,10048431,13,OBSOLETO,0.0006,0.001,0.9984,0.9989
"Memoria RAM Kingston Fury Beast 8GB (1x8GB), DDR4, 3200Mhz, CL14 | marca: Kingston | categoria: RAM | fuente: coolbox_pe | precio: 98.4 USD",OBSOLETO,2,1.0,lexical,ddr4,"Memoria RAM Kingston Fury Beast 8GB (1x8GB), DDR4, 3200Mhz, CL14",Kingston,RAM,coolbox_pe,98.4,12209,14,OBSOLETO,0.0006,0.001,0.9984,0.9989
"Memoria ram Kingston Fury Beast 16GB (1x16GB), DDR4, 3200Mhz, CL16 | marca: Kingston | categoria: RAM | fuente: coolbox_pe | precio: 186.4 USD",OBSOLETO,2,1.0,lexical,ddr4,"Memoria ram Kingston Fury Beast 16GB (1x16GB), DDR4, 3200Mhz, CL16",Kingston,RAM,coolbox_pe,186.4,12208,15,OBSOLETO,0.0008,0.001,0.9982,0.9987
Memoria RAM TeamGroup T-Force Vulcan Z 8GB DDR4 3200Mhz CL16 1.35v | marca: Teamgroup | categoria: RAM | fuente: coolbox_pe | precio: 98.4 USD,OBSOLETO,2,1.0,lexical,ddr4,Memoria RAM TeamGroup T-Force Vulcan Z 8GB DDR4 3200Mhz CL16 1.35v,Teamgroup,RAM,coolbox_pe,98.4,10066165,16,OBSOLETO,0.0006,0.0011,0.9984,0.9989
"Memoria ram para laptop Kingston KCP 8GB DDR4, 3200Mhz | marca: Kingston | categoria: RAM | fuente: coolbox_pe | precio: 79.73 USD",OBSOLETO,2,1.0,lexical,ddr4,"Memoria ram para laptop Kingston KCP 8GB DDR4, 3200Mhz",Kingston,RAM,coolbox_pe,79.73,24382,17,OBSOLETO,0.0006,0.001,0.9984,0.9989
"Memoria RAM Kingston KVR 8GB, DDR4, 3200MT/s, CL22, SODIMM | marca: Kingston | categoria: RAM | fuente: coolbox_pe | precio: 98.4 USD",OBSOLETO,2,1.0,lexical,ddr4,"Memoria RAM Kingston KVR 8GB, DDR4, 3200MT/s, CL22, SODIMM",Kingston,RAM,coolbox_pe,98.4,10066291,18,OBSOLETO,0.0006,0.0011,0.9984,0.9989
"Unidad de estado sólido SSD Kingston SSD A400 960GB de capacidad, 2.5"", SATA3 | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 125.07 USD",VIGENTE,0,0.4,default,,"Unidad de estado sólido SSD Kingston SSD A400 960GB de capacidad, 2.5"", SATA3",Kingston,SSD,coolbox_pe,125.07,4985,19,VIGENTE,0.9983,0.0009,0.0008,0.0012
Unidad de estado sólido SSD Kingston NV3 1000GB M.2 PCIE4.0 NVME | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 175.73 USD,VIGENTE,0,0.4,default,,Unidad de estado sólido SSD Kingston NV3 1000GB M.2 PCIE4.0 NVME,Kingston,SSD,coolbox_pe,175.73,10051503,20,VIGENTE,0.9982,0.0009,0.0009,0.0013
"Unidad de estado sólido SSD Kingston A400 240GB de capacidad, 2.5"", SATA3 | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 74.4 USD",VIGENTE,0,0.4,default,,"Unidad de estado sólido SSD Kingston A400 240GB de capacidad, 2.5"", SATA3",Kingston,SSD,coolbox_pe,74.4,4338,21,VIGENTE,0.998,0.0009,0.0012,0.0016
Unidad de estado sólido SSD Kingston NV3 2000GB M.2 PCIE4.0 NVME | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 266.4 USD,VIGENTE,0,0.4,default,,Unidad de estado sólido SSD Kingston NV3 2000GB M.2 PCIE4.0 NVME,Kingston,SSD,coolbox_pe,266.4,10051504,22,VIGENTE,0.9983,0.0009,0.0008,0.0013
"Unidad de estado sólido SSD Kingston Ssd A400 480GB de capacidad , 2.5"", SATA3 | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 117.07 USD",VIGENTE,0,0.4,default,,"Unidad de estado sólido SSD Kingston Ssd A400 480GB de capacidad , 2.5"", SATA3",Kingston,SSD,coolbox_pe,117.07,4339,23,VIGENTE,0.9983,0.0009,0.0009,0.0013
Unidad de estado sólido SSD Kingston NV3 500GB M.2 PCIE4.0 NVME | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 149.07 USD,VIGENTE,0,0.4,default,,Unidad de estado sólido SSD Kingston NV3 500GB M.2 PCIE4.0 NVME,Kingston,SSD,coolbox_pe,149.07,10051505,24,VIGENTE,0.998,0.0009,0.0011,0.0016
Unidad de estado sólido SSD Kingston Fury Renegade G5 1TB M.2 PCIE5 NVME 2280 | marca: Kingston | categoria: SSD | fuente: coolbox_pe | precio: 293.07 USD,VIGENTE,0,0.4,default,,Unidad de estado sólido SSD Kingston Fury Renegade G5 1TB M.2 PCIE5 NVME 2280,Kingston,SSD,coolbox_pe,293.07,10057981,25,VIGENTE,0.9983,0.0009,0.0008,0.0013
"Placa madre MSI PRO B650M-P, socket AM5, DDR5 hasta 192GB, factor micro-ATX, 2x M.2 PCIe 4.0, LAN 2.5G, HDMI y DisplayPort | marca: Msi | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 133.07 USD",VIGENTE,0,1.0,lexical,"am5, ddr5","Placa madre MSI PRO B650M-P, socket AM5, DDR5 hasta 192GB, factor micro-ATX, 2x M.2 PCIe 4.0, LAN 2.5G, HDMI y DisplayPort",Msi,MOTHERBOARD,coolbox_pe,133.07,10048103,26,VIGENTE,0.9982,0.001,0.0008,0.0013
"Placa madre Asrock A520M-HDV AM4, DDR4 MATX | marca: Asrock | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 63.73 USD",OBSOLETO,2,1.0,lexical,"am4, ddr4","Placa madre Asrock A520M-HDV AM4, DDR4 MATX",Asrock,MOTHERBOARD,coolbox_pe,63.73,10047116,27,OBSOLETO,0.0007,0.001,0.9983,0.9988
"Placa Madre MSI PRO A620M-E Socket AM5, DDR5, Micro-ATX, PCIe 4.0, RAID SATA, Ranura M.2, HDMI 2.1, LAN Realtek | marca: Msi | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 106.4 USD",VIGENTE,0,1.0,lexical,"am5, ddr5","Placa Madre MSI PRO A620M-E Socket AM5, DDR5, Micro-ATX, PCIe 4.0, RAID SATA, Ranura M.2, HDMI 2.1, LAN Realtek",Msi,MOTHERBOARD,coolbox_pe,106.4,10048420,28,VIGENTE,0.9982,0.001,0.0008,0.0013
"Placa madre Asrock Prime B860M-A LGA1851, DDR5, MATX | marca: Asrock | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 186.4 USD",VIGENTE,0,1.0,lexical,"lga1851, ddr5","Placa madre Asrock Prime B860M-A LGA1851, DDR5, MATX",Asrock,MOTHERBOARD,coolbox_pe,186.4,10057318,29,VIGENTE,0.9981,0.0009,0.001,0.0014
"Placa madre Gigabyte B550M-K AM4, DDR4 (reempacado) | marca: Gigabyte | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 89.79 USD | descuento: 2500%",OBSOLETO,2,1.0,lexical_wins,"am4, ddr4","Placa madre Gigabyte B550M-K AM4, DDR4 (reempacado)",Gigabyte,MOTHERBOARD,coolbox_pe,89.79,10067162,30,OBSOLETO,0.0006,0.0013,0.9981,0.9988
"Placa madre Asrock Z890 PRO-A LGA1851, DDR5, ATX | marca: Asrock | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 266.4 USD",VIGENTE,0,1.0,lexical,"lga1851, ddr5","Placa madre Asrock Z890 PRO-A LGA1851, DDR5, ATX",Asrock,MOTHERBOARD,coolbox_pe,266.4,10057317,31,VIGENTE,0.9982,0.0009,0.0009,0.0013
"Placa madre Asrock H610M-HDV/M.2 R2.0, DDR4, M.2, LGA1700 (reempacado) | marca: Asrock | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 85.79 USD | descuento: 2500%",EN_RIESGO,1,0.72,numeric_wins,ddr4,"Placa madre Asrock H610M-HDV/M.2 R2.0, DDR4, M.2, LGA1700 (reempacado)",Asrock,MOTHERBOARD,coolbox_pe,85.79,10061042,32,EN_RIESGO,0.0009,0.9977,0.0013,0.5002
"Placa madre Advance MoDT ITX con Procesador (incorporado) Intel Core i5-13420H,  Wi-Fi HDMIx2/DP/VGA | marca: Advance | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 314.4 USD",EN_RIESGO,1,1.0,lexical,i5-13,"Placa madre Advance MoDT ITX con Procesador (incorporado) Intel Core i5-13420H,  Wi-Fi HDMIx2/DP/VGA",Advance,MOTHERBOARD,coolbox_pe,314.4,10054480,33,EN_RIESGO,0.0007,0.9984,0.0009,0.5001
"Placa madre Asrock H610M-HDV/M.2 R2.0, DDR4, M.2, LGA1700 | marca: Asrock | categoria: MOTHERBOARD | fuente: coolbox_pe | precio: 114.4 USD",OBSOLETO,2,0.5,lexical,ddr4,"Placa madre Asrock H610M-HDV/M.2 R2.0, DDR4, M.2, LGA1700",Asrock,MOTHERBOARD,coolbox_pe,114.4,21224,34,OBSOLETO,0.0006,0.001,0.9984,0.9989
