sku_local,source_local,title_local,model_key_local,price_local,category_local,sku_import,source_import,title_import,model_key_import,price_import,category_import,match_score,price_ratio,gap_usd,gap_pct,category,price_import_real_opt,overhead_pct_opt,gap_pct_real_opt,conviene_local_opt,price_import_real_base,overhead_pct_base,gap_pct_real_base,conviene_local_base,price_import_real_cons,overhead_pct_cons,gap_pct_real_cons,conviene_local_cons,precio_venta_bruto,costo_operativo_usd,precio_venta_est,ganancia_unitaria_bruta,roi_unitario_pct,ganancia_esperada,roi_esperado_pct,demanda_cat,score_confianza,score_demanda,score_roi_ponderado,rank
144603240,falabella_pe,Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700,LGA1700,559.07,CPU,3256809336260032,aliexpress,6* I225-V Gigabit Nic Qotom motherboard with 12th/13th Gen Alder Lake-S LGA1700 Core I3 I5 I7 Processor,LGA1700,140.0,CPU,100.0,3.993357142857143,419.0700000000001,299.3357142857143,cpu,186.72,33.4,199.4162382176521,0,197.76,41.3,182.70125404530748,0,221.33,58.1,152.59567162156057,0,402.53,16.1,386.43,188.67,95.4,150.03,75.86,1.3,1.0,1.3,0.9427,1
154121378,falabella_pe,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon,RYZEN 5 9600,579.63,procesadores,v1|127132029628|428244809810,ebay_usa,AMD RYZEN 5 9600X 8600G 8500G 8400F 7600X 7500F 7400F Socket AM5 Zen4 CPU,RYZEN 5 9600X,145.2,unknown,96.0,3.991942148760331,434.43,299.1942148760332,procesadores,193.21,33.1,200.0,0,204.44,40.8,183.5208374095089,0,228.6,57.4,153.5564304461942,0,417.33,16.69,400.64,196.2,95.97,156.14,76.37,1.3,0.96,1.248,0.9328,2
148258384,falabella_pe,DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0,1TB M.2,493.39,SSD,B01N10L1XS,amazon_usa,"KingSpec 1TB M.2 SATA 2280 SSD NOT for NVMe Slots, Upgrade for Laptop/Desktop, SATA III 6Gb/s, B+M Key, Up to 550MB/s",1TB M.2,125.97,SSD,100.0,3.916726204651901,367.42,291.6726204651901,ssd,169.21,34.3,191.58442172448437,0,179.75,42.7,174.48678720445062,0,201.7,60.1,144.61576598909272,0,355.24,14.21,341.03,161.28,89.72,127.18,70.75,1.4,1.0,1.4,0.9292,3
144347926,falabella_pe,"Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W",RYZEN 5 7600X | 105W,570.8,procesadores,v1|137388963988|0,ebay_usa,AMD Ryzen 5 7600x - 4.7 GHz - 6-core processor - Socket AM5 - 105W,RYZEN 5 7600X | 105W,144.99,unknown,100.0,3.93682322918822,425.81,293.682322918822,procesadores,192.95,33.1,195.82793469810832,0,204.17,40.8,179.57094578047705,0,228.31,57.5,150.01095002409005,0,410.98,16.44,394.54,190.37,93.24,150.92,73.92,1.3,1.0,1.3,0.9274,4
128512749,falabella_pe,Disco duro Western Digital WD Purple 1TB SATA 6.0 Gbs 5400 64MB 3.5,1TB SATA,491.63,discos_ssd,B0CG1S9XDD,amazon_usa,"ORICO 1TB SATA SSD 2.5 Inch Internal Solid State Drive, Read Speed up to 500MB/s, SATA III 6Gbps for Desktop Laptop NAS DIY External Drive - Y20",1TB SATA,125.99,SSD,100.0,3.902135090086515,365.64,290.21350900865144,discos_ssd,169.24,34.3,190.49279130229257,0,179.77,42.7,173.47722089336375,0,201.73,60.1,143.70693501214492,0,353.97,14.16,339.81,160.04,89.02,126.06,70.12,1.4,1.0,1.4,0.9242,5
127971840,falabella_pe,Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700,LGA1700,548.9,CPU,3256809336260032,aliexpress,6* I225-V Gigabit Nic Qotom motherboard with 12th/13th Gen Alder Lake-S LGA1700 Core I3 I5 I7 Processor,LGA1700,140.0,CPU,100.0,3.920714285714285,408.9,292.07142857142856,cpu,186.72,33.4,193.9695801199657,0,197.76,41.3,177.5586569579288,0,221.33,58.1,148.00072290245333,0,395.21,15.81,379.4,181.64,91.85,143.7,72.66,1.3,1.0,1.3,0.9175,6
138468353,falabella_pe,Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,180HZ,558.63,monitores,v1|176454841516|0,ebay_usa,"Z-EDGE UG27 1080P FHD 180Hz 1ms Curved Gaming Monitor, FreeSync, HDMI 2.0, DP1.4",180HZ,139.99,unknown,100.0,3.9904993213800974,418.64,299.0499321380098,monitores,186.71,33.4,199.19661507150124,0,197.75,41.3,182.4930467762326,0,221.31,58.1,152.41968279788532,0,402.21,16.09,386.12,188.37,95.26,149.76,75.73,1.2,1.0,1.2,0.915,7
145505387,falabella_pe,Monitor gaming G Pro 27i de 27 2K QHD Fast IPS 180Hz 1Ms,180HZ,558.63,monitores,v1|176454841516|0,ebay_usa,"Z-EDGE UG27 1080P FHD 180Hz 1ms Curved Gaming Monitor, FreeSync, HDMI 2.0, DP1.4",180HZ,139.99,unknown,100.0,3.9904993213800974,418.64,299.0499321380098,monitores,186.71,33.4,199.19661507150124,0,197.75,41.3,182.4930467762326,0,221.31,58.1,152.41968279788532,0,402.21,16.09,386.12,188.37,95.26,149.76,75.73,1.2,1.0,1.2,0.915,8
145370839,falabella_pe,Monitor gaming G Pro 27i de 27 2K QHD Fast IPS 180Hz 1Ms,180HZ,558.63,monitores,v1|176454841516|0,ebay_usa,"Z-EDGE UG27 1080P FHD 180Hz 1ms Curved Gaming Monitor, FreeSync, HDMI 2.0, DP1.4",180HZ,139.99,unknown,100.0,3.9904993213800974,418.64,299.0499321380098,monitores,186.71,33.4,199.19661507150124,0,197.75,41.3,182.4930467762326,0,221.31,58.1,152.41968279788532,0,402.21,16.09,386.12,188.37,95.26,149.76,75.73,1.2,1.0,1.2,0.915,9
149918609,falabella_pe,Memoria Ram Hyperx Fury Impact 16Gb Ddr4 3200Mhz Sodimm Para Laptop - Alto Rendim,16GB DDR4 3200MHZ,382.4,memorias_ram,B07QQVPQVS,amazon_usa,Timetec 16GB DDR4 3200MHz (PC4-3200AA) PC4-25600 UDIMM Desktop RAM – 288-Pin 1.2V CL22 Non-ECC Unbuffered DIMM Memory Module Upgrade,16GB DDR4 3200MHZ,97.99,RAM,100.0,3.902439024390244,284.41,290.2439024390244,memorias_ram,134.29,37.0,184.75686946161292,0,143.82,46.8,165.8879154498679,0,162.55,65.9,135.25069209474006,0,275.33,11.01,264.32,120.5,83.79,94.07,65.41,1.5,1.0,1.5,0.9139,10
151157582,falabella_pe,Memoria Predator Vesta Ii Rgb 32 Gb Ddr5-6000 Alto Rendimiento,32 GB DDR5,1197.82,memorias_ram,v1|397915372106|0,ebay_usa,Crucial CT32G48C40s5.m16a1 32 GB DDR5-4800 SODIMM CL40,32 GB DDR5,300.0,unknown,100.0,3.992733333333333,897.8199999999999,299.2733333333333,memorias_ram,386.4,28.8,209.99482401656317,0,453.2,51.1,164.30273609885256,0,505.2,68.4,137.09817893903403,0,862.43,34.5,827.93,374.73,82.69,291.94,64.42,1.5,1.0,1.5,0.9061,11
149918609,falabella_pe,Memoria Ram Hyperx Fury Impact 16Gb Ddr4 3200Mhz Sodimm Para Laptop - Alto Rendim,16GB DDR4 3200MHZ,382.4,memorias_ram,B08QR2YGKX,amazon_usa,Samsung 16GB DDR4 3200MHz SODIMM PC4-25600 CL22 2Rx8 1.2V 260-Pin SO-DIMM Laptop Notebook RAM Memory Module M471A2K43DB1-CWE,16GB DDR4 3200MHZ,99.0,RAM,100.0,3.862626262626262,283.4,286.2626262626262,memorias_ram,135.55,36.9,182.1099225378089,0,145.12,46.6,163.50606394707825,0,163.96,65.6,133.22761649182723,0,275.33,11.01,264.32,119.2,82.14,92.77,63.93,1.5,1.0,1.5,0.9023,12
139926721,falabella_pe,Tarjeta de video geforce RTX 3080 10GB gddr6x 320bits v2 OC tuf,RTX 3080,1732.45,tarjetas_video,B09S1DXTZP,amazon_usa,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 Graphics Card (PCIe 4.0, 10GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II) (Renewed)",RTX 3080,449.99,GPU,100.0,3.84997444387653,1282.46,284.99744438765305,tarjetas_video,573.59,27.5,202.0362977039349,0,645.79,43.5,168.26832251970455,0,715.07,58.9,142.27697987609605,0,1247.36,49.89,1197.47,551.68,85.43,431.93,66.88,1.4,1.0,1.4,0.8988,13
