titulo,categoria,fuente_import,costo_unit_usd,precio_venta_usd,ganancia_unit_usd,roi_unitario_pct,roi_esperado_pct,cantidad,costo_total_usd,venta_total_usd,ganancia_total_usd,score_ponderado,match_score
Tarjeta de video geforce RTX 3080 10GB gddr6x 320bits v2 OC ,tarjetas_video,amazon_usa,645.79,1197.47,431.93,85.4,66.9,2,1291.58,2394.94,863.86,0.8988,100.0
"Laptop Amd Ryzen Ia 7 350 32gb 1tb Ssd Yoga 7 2 En 1 14"" Ole",laptops,ebay_usa,772.9,1461.36,542.32,89.1,70.2,1,772.9,1461.36,542.32,0.898,100.0
Computadora Pro Mini 400 G9 Core i7 14700T 1.3 5.2GHz 16GB D,computadoras,ebay_usa,708.72,1350.6,506.82,90.6,71.5,1,708.72,1350.6,506.82,0.7752,100.0
Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráfico,procesadores,ebay_usa,204.44,400.64,156.14,96.0,76.4,3,613.32,1201.92,468.42,0.9328,96.0
"Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Ar",procesadores,ebay_usa,204.17,394.54,150.92,93.2,73.9,1,204.17,394.54,150.92,0.9274,100.0
Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA17,cpu,aliexpress,197.76,386.43,150.03,95.4,75.9,1,197.76,386.43,150.03,0.9427,100.0
Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,monitores,ebay_usa,197.75,386.12,149.76,95.3,75.7,1,197.75,386.12,149.76,0.915,100.0
Monitor gaming G Pro 27i de 27 2K QHD Fast IPS 180Hz 1Ms,monitores,ebay_usa,197.75,386.12,149.76,95.3,75.7,1,197.75,386.12,149.76,0.915,100.0
Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA170,cpu,aliexpress,197.76,379.4,143.7,91.8,72.7,1,197.76,379.4,143.7,0.9175,100.0
DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0,ssd,amazon_usa,179.75,341.03,127.18,89.7,70.8,1,179.75,341.03,127.18,0.9292,100.0
Disco duro Western Digital WD Purple 1TB SATA 6.0 Gbs 5400 6,discos_ssd,amazon_usa,179.77,339.81,126.06,89.0,70.1,1,179.77,339.81,126.06,0.9242,100.0
Memoria Ram Hyperx Fury Impact 16Gb Ddr4 3200Mhz Sodimm Para,memorias_ram,amazon_usa,143.82,264.32,94.07,83.8,65.4,1,143.82,264.32,94.07,0.9139,100.0
Enfriamiento Liquido MYSTIQUE 240 WH ARGB 280 W.,cooler,amazon_usa,114.34,190.81,57.39,66.9,50.2,1,114.34,190.81,57.39,0.6077,88.9
