sol_id,roi_pct,riesgo,n_cats,hhi,capital_usd,ganancia_usd,n_skus,categorias,skus_top3,tipo
0,68.05,5.0362,10,0.13,4854.86,3303.6,15,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd,Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700,normal
1,70.0,6.1752,10,0.1343,4945.47,3461.68,14,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
2,67.3,4.8333,10,0.122,4591.93,3090.34,15,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W|DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0",normal
3,70.76,3.5636,6,0.2061,3898.45,2758.43,12,cpu|discos_ssd|memorias_ram|monitores|procesadores|ssd,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W",normal
4,66.62,4.5979,10,0.1046,4888.07,3256.38,16,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ssd|tarjetas_video,"Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 5 7600X, 6 Núcleos, 4.7-5.3Ghz, 32Mb L3, Arquitectura Am5, 105W|DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0",normal
5,67.94,6.5581,11,0.105,4772.79,3242.58,14,computadoras|cpu|discos_ssd|gpu|memorias_ram|monitores|motherboard|procesadores|ram|ssd|tarjetas_video,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,max_diversif
6,72.19,3.8723,6,0.2274,4443.35,3207.71,11,cpu|discos_ssd|memorias_ram|monitores|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W,normal
7,67.42,3.2508,8,0.1749,4265.74,2875.8,15,computadoras|cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|DISCO DURO SOLIDO 1TB M.2 2230 NVMe PCIe 4.0 1TB SNV3SM3/1T0|Disco duro N300 NAS 8TB SATA 60Gbs 7200rpm 35,min_riesgo
8,71.85,4.89,7,0.1759,4078.84,2930.47,12,computadoras|cpu|discos_ssd|memorias_ram|monitores|procesadores|ssd,Procesador Ryzen 5 9600 3.80-5.20Ghz 32Mb 6C Am5 Con Gráficos Radeon|Procesador Core i7 14700 2.10-5.40Ghz 33MB Smart Cache LGA1700|Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms,normal
9,70.02,4.2187,7,0.151,3063.32,2144.88,11,cpu|discos_ssd|memorias_ram|monitores|motherboard|procesadores|ssd,Monitor Curvo Gaming G34WQi de 34 WQHD 3440x1440 180Hz 1ms|Procesador Ryzen 7 7700X 4 5 a 5 4GHz 32MB L3 8-Core AM5 105W|Procesador Core i7 14700KF 3.4 GHz-5.4 GHz Cache 33MB LGA1700,normal
