sol_id,tipo,n_skus,n_categorias,capital_usd,ingresos_usd,ganancia_usd,roi_pct,rj_portafolio,skus_top3
13,AGRESIVO,1,1,33.49,120.91,87.42,261.03,0.9613,"Fuente de poder Antryx Kirin 850 GOLD, 8"
0,AGRESIVO,3,1,111.48,383.47,271.99,243.98,0.6479,"Fuente de poder Teros TE-7175W 750W, 80  | Fuente de poder Antryx Kirin 850 GOLD, 8 | Fuente de poder Seasonic A12, 600W, 80 P"
6,OPTIMO,2,2,85.94,277.24,191.3,222.6,0.1579,"Fuente de poder Teros TE-7175W 750W, 80  | Memoria RAM TeamGroup T-Force Vulcan Z 8"
20,AGRESIVO,5,3,245.45,791.81,546.36,222.6,0.4671,"Unidad de estado sólido SSD Kingston NV3 | Fuente de poder Teros TE-7175W 750W, 80  | Fuente de poder Antryx Kirin 850 GOLD, 8"
1,ESTRELLA,3,2,121.13,365.05,243.92,201.37,0.1149,"Fuente de poder Teros TE-7175W 750W, 80  | Memoria RAM TeamGroup T-Force Vulcan Z 8 | Memoria ram para laptop Kingston KCP 8GB"
16,AGRESIVO,7,5,503.77,1496.07,992.3,196.97,0.3365,Tarjeta de video Asus Dual NVIDIA GeForc | Unidad de estado sólido SSD Kingston NV3 | Placa madre Asrock Prime B860M-A LGA1851
7,ESTRELLA,5,5,442.23,1281.47,839.24,189.77,0.1333,Tarjeta de video Asus Dual NVIDIA GeForc | Unidad de estado sólido SSD Kingston NV3 | Placa madre Asrock Prime B860M-A LGA1851
22,OPTIMO,6,5,604.1,1732.48,1128.38,186.79,0.2289,Tarjeta de video Asus Dual NVIDIA GeForc | Tarjeta de video Asus Dual NVIDIA GeForc | Unidad de estado sólido SSD Kingston NV3
19,ESTRELLA,3,2,392.64,1106.31,713.67,181.76,0.0204,Tarjeta de video Asus Dual NVIDIA GeForc | Tarjeta de video Asus Dual NVIDIA GeForc | Memoria RAM TeamGroup T-Force Vulcan Z 8
17,ESTRELLA,6,4,693.28,1904.96,1211.68,174.77,0.0687,Tarjeta de video Asus Dual NVIDIA GeForc | Tarjeta de video Asus Dual NVIDIA GeForc | Unidad de estado sólido SSD Kingston NV3
10,OPTIMO,8,5,753.04,2056.71,1303.67,173.12,0.2044,Tarjeta de video Asus Dual NVIDIA GeForc | Tarjeta de video Asus Dual NVIDIA GeForc | Unidad de estado sólido SSD Kingston NV3
3,AGRESIVO,9,6,882.21,2201.16,1318.95,149.51,0.2618,Tarjeta de video Asus Dual NVIDIA GeForc | Tarjeta de video Asus Dual NVIDIA GeForc | Unidad de estado sólido SSD Kingston NV3
11,AGRESIVO,8,7,744.34,1851.75,1107.41,148.78,0.3975,"Tarjeta de video Asus Dual NVIDIA GeForc | Procesador Intel Core Ultra 7 265KF, 5.5 | Unidad de estado sólido SSD Kingston NV3"
2,OPTIMO,12,7,1578.31,3063.09,1484.78,94.07,0.183,"Tarjeta de video Asus Dual NVIDIA GeForc | Procesador Intel Core Ultra 7 265KF, 5.5 | Placa madre Asrock Z890 PRO-A LGA1851, D"
14,OPTIMO,7,7,1874.02,3423.96,1549.94,82.71,0.1614,"Unidad de estado sólido SSD Kingston NV3 | Tarjeta de video Asus Dual NVIDIA GeForc | Procesador Intel Core Ultra 7 265KF, 5.5"
4,AGRESIVO,10,6,1553.22,2535.19,981.97,63.22,0.4097,"Unidad de estado sólido SSD Kingston NV3 | Placa madre Asrock Z890 PRO-A LGA1851, D | Memoria RAM Kingston Fury Beast 8GB (1x8"
5,ESTRELLA,5,4,1781.3,2754.6,973.3,54.64,0.032,"Unidad de estado sólido SSD Kingston NV3 | Procesador Intel Core i5-14400 6+4-Cores | Procesador Intel Core i3-13100F, 4.5Ghz,"
18,BALANCEADO,5,4,336.65,498.51,161.86,48.08,0.5915,"Memoria Ram para Laptop Kingston KCP 16G | Placa madre Asrock H610M-HDV/M.2 R2.0, D | Gabinete Antryx RX-250, USB3.0, FRGB FAN"
8,BALANCEADO,8,6,973.1,1389.47,416.37,42.79,0.2657,Procesador Intel Core i5-14400 6+4-Cores | Fuente de poder Antryx Kirin Gold Evo II | Memoria Ram para Laptop Kingston KCP 16G
21,OPTIMO,11,4,1755.7,2452.19,696.49,39.67,0.0497,Procesador Intel Core i5-14400 6+4-Cores | Placa madre Asrock Prime B860M-A LGA1851 | Fuente de poder Antryx Kirin Gold Evo II
15,BALANCEADO,7,5,989.06,1376.61,387.55,39.18,0.2903,"Procesador AMD Ryzen 5 8600G (IA), 5Ghz, | Procesador AMD Ryzen 5 7600X 6 cores, 5. | Procesador Intel Core i3-13100F, 4.5Ghz,"
12,OPTIMO,4,2,717.28,994.97,277.69,38.71,0.0053,"Procesador AMD Ryzen 5 7600X 6 cores, 5. | Procesador Intel Core i3-13100F, 4.5Ghz, | Procesador Intel Core i5-13400F, 2.5GHZ,"
9,BALANCEADO,6,6,827.39,1107.84,280.45,33.9,0.3496,"Fuente de poder Seasonic Vertex GX-1200W | Procesador Intel Core i3-13100F, 4.5Ghz, | Memoria Ram para Laptop Kingston KCP 16G"
