index,sol_id,tipo,n_skus,n_categorias,capital_usd,ingresos_usd,ganancia_usd,roi_pct,rj_portafolio,skus_top3,roi_norm,rj_norm,gan_norm,score_final
9,17,ESTRELLA,6,4,693.28,1904.96,1211.68,174.77,0.0687,Tarjeta de video Asus Dual NVIDIA GeForc | Tarjeta de video Asus Dual NVIDIA GeForc | Unidad de estado sólido SSD Kingston NV3,0.6202174965878573,0.9336820083682008,0.7687142739928343,0.7670542700622217
10,10,OPTIMO,8,5,753.04,2056.71,1303.67,173.12,0.2044,Tarjeta de video Asus Dual NVIDIA GeForc | Tarjeta de video Asus Dual NVIDIA GeForc | Unidad de estado sólido SSD Kingston NV3,0.6129529344428302,0.7917364016736401,0.8316125591444904,0.7301920541490288
7,22,OPTIMO,6,5,604.1,1732.48,1128.38,186.79,0.2289,Tarjeta de video Asus Dual NVIDIA GeForc | Tarjeta de video Asus Dual NVIDIA GeForc | Unidad de estado sólido SSD Kingston NV3,0.6731387311231454,0.7661087866108787,0.7117577879276865,0.7153330147449873
8,19,ESTRELLA,3,2,392.64,1106.31,713.67,181.76,0.0204,Tarjeta de video Asus Dual NVIDIA GeForc | Tarjeta de video Asus Dual NVIDIA GeForc | Memoria RAM TeamGroup T-Force Vulcan Z 8,0.6509928234931537,0.9842050209205021,0.42819927248858136,0.7119187048415825
6,7,ESTRELLA,5,5,442.23,1281.47,839.24,189.77,0.1333,Tarjeta de video Asus Dual NVIDIA GeForc | Unidad de estado sólido SSD Kingston NV3 | Placa madre Asrock Prime B860M-A LGA1851,0.686258970633558,0.8661087866108786,0.5140579274129585,0.7061561454204703
5,16,AGRESIVO,7,5,503.77,1496.07,992.3,196.97,0.3365,Tarjeta de video Asus Dual NVIDIA GeForc | Unidad de estado sólido SSD Kingston NV3 | Placa madre Asrock Prime B860M-A LGA1851,0.7179588781754943,0.6535564853556486,0.6187129064901676,0.6706065477672166
11,3,AGRESIVO,9,6,882.21,2201.16,1318.95,149.51,0.2618,Tarjeta de video Asus Dual NVIDIA GeForc | Tarjeta de video Asus Dual NVIDIA GeForc | Unidad de estado sólido SSD Kingston NV3,0.5090036542948972,0.7316945606694562,0.842060279517545,0.6702096278316548
2,6,OPTIMO,2,2,85.94,277.24,191.3,222.6,0.1579,"Fuente de poder Teros TE-7175W 750W, 80  | Memoria RAM TeamGroup T-Force Vulcan Z 8",0.8308017434949149,0.8403765690376569,0.07102808850477259,0.644209518687339
4,1,ESTRELLA,3,2,121.13,365.05,243.92,201.37,0.1149,"Fuente de poder Teros TE-7175W 750W, 80  | Memoria RAM TeamGroup T-Force Vulcan Z 8 | Memoria ram para laptop Kingston KCP 8GB",0.7373310438955665,0.8853556485355649,0.10700708366381315,0.6315586654616275
13,2,OPTIMO,12,7,1578.31,3063.09,1484.78,94.07,0.183,"Tarjeta de video Asus Dual NVIDIA GeForc | Procesador Intel Core Ultra 7 265KF, 5.5 | Placa madre Asrock Z890 PRO-A LGA1851, D",0.26491436622198744,0.8141213389121339,0.955446763121188,0.6297699058883388
14,14,OPTIMO,7,7,1874.02,3423.96,1549.94,82.71,0.1614,"Unidad de estado sólido SSD Kingston NV3 | Tarjeta de video Asus Dual NVIDIA GeForc | Procesador Intel Core Ultra 7 265KF, 5.5",0.21489895654471008,0.8367154811715481,1.0,0.6288100010279258
3,20,AGRESIVO,5,3,245.45,791.81,546.36,222.6,0.4671,"Unidad de estado sólido SSD Kingston NV3 | Fuente de poder Teros TE-7175W 750W, 80  | Fuente de poder Antryx Kirin 850 GOLD, 8",0.8308017434949149,0.5169456066945608,0.31380083691163196,0.5917018689689703
12,11,AGRESIVO,8,7,744.34,1851.75,1107.41,148.78,0.3975,"Tarjeta de video Asus Dual NVIDIA GeForc | Procesador Intel Core Ultra 7 265KF, 5.5 | Unidad de estado sólido SSD Kingston NV3",0.5057896358913399,0.5897489539748955,0.6974195224680689,0.5830828688647666
16,5,ESTRELLA,5,4,1781.3,2754.6,973.3,54.64,0.032,"Unidad de estado sólido SSD Kingston NV3 | Procesador Intel Core i5-14400 6+4-Cores | Procesador Intel Core i3-13100F, 4.5Ghz,",0.0913133447805222,0.972071129707113,0.6057216311571808,0.5281806410989935
1,0,AGRESIVO,3,1,111.48,383.47,271.99,243.98,0.6479,"Fuente de poder Teros TE-7175W 750W, 80  | Fuente de poder Antryx Kirin 850 GOLD, 8 | Fuente de poder Seasonic A12, 600W, 80 P",0.9249328578347202,0.3278242677824268,0.126199983589968,0.5162616327552295
19,21,OPTIMO,11,4,1755.7,2452.19,696.49,39.67,0.0497,Procesador Intel Core i5-14400 6+4-Cores | Placa madre Asrock Prime B860M-A LGA1851 | Fuente de poder Antryx Kirin Gold Evo II,0.025403953682912886,0.9535564853556485,0.416452424582228,0.44801945749319916
15,4,AGRESIVO,10,6,1553.22,2535.19,981.97,63.22,0.4097,"Unidad de estado sólido SSD Kingston NV3 | Placa madre Asrock Z890 PRO-A LGA1851, D | Memoria RAM Kingston Fury Beast 8GB (1x8",0.129089067934663,0.5769874476987449,0.6116497552170227,0.40649367267268155
0,13,AGRESIVO,1,1,33.49,120.91,87.42,261.03,0.9613,"Fuente de poder Antryx Kirin 850 GOLD, 8",1.0,0.0,0.0,0.4
21,12,OPTIMO,4,2,717.28,994.97,277.69,38.71,0.0053,"Procesador AMD Ryzen 5 7600X 6 cores, 5. | Procesador Intel Core i3-13100F, 4.5Ghz, | Procesador Intel Core i5-13400F, 2.5GHZ,",0.021177299343988036,1.0,0.13009736618986406,0.39099526128506124
