category,source,source_type,n,mean,median,std,min,max,cv
CASE,amazon_usa,importacion,413,122.26186440677967,79.99,207.5196783408745,5.4,2525.12,1.6973377540721284
CASE,coolbox_pe,local,32,111.9221875,87.81,96.49558875875722,55.77,587.08,0.8621667509738158
CASE,falabella_pe,local,145,121.7188275862069,98.38,100.86877106269925,35.3,910.85,0.8287031107924476
COOLER,amazon_usa,importacion,546,58.393406593406596,36.675,62.91849341273165,5.4,432.52,1.0774931123788212
COOLER,falabella_pe,local,135,117.02437037037036,101.32,79.60425419524515,11.74,442.08,0.680236551953287
CPU,aliexpress,importacion,410,286.3113551219534,93.86,770.2292772378391,5.4,7962.0478000004405,2.690180684275559
CPU,amazon_usa,importacion,938,1134.980571215357,659.99,1384.958588006856,9.69,7962.0478000004405,1.2202487189043405
CPU,coolbox_pe,local,32,198.8978125,106.9,201.3578022669352,14.65,869.58,1.0123681087087633
CPU,falabella,local,1,7962.0478000004405,7962.0478000004405,0.0,7962.0478000004405,7962.0478000004405,0.0
CPU,falabella_pe,local,189,580.0541269841269,485.89,440.53884254315227,5.87,2417.92,0.7594788521437544
CPU,hiraoka,local,1,5.4,5.4,0.0,5.4,5.4,0.0
GPU,amazon_usa,importacion,585,866.430888888889,549.0,958.3672767431517,44.95,7439.29,1.106109314699251
GPU,coolbox_pe,local,259,794.1778764478764,766.37,626.9969827911405,20.61,4853.59,0.7894918775570948
GPU,falabella_pe,local,138,898.2111594202898,763.4200000000001,467.1226008141189,66.08,2747.91,0.5200587811841508
MOTHERBOARD,amazon_usa,importacion,515,304.3802524271845,149.99,493.28684281805744,5.4,5870.06,1.6206269588269833
MOTHERBOARD,coolbox_pe,local,21,184.4652380952381,146.55,106.17816228486194,58.44,440.23,0.5755998440749194
MOTHERBOARD,falabella_pe,local,172,280.67186046511625,201.175,292.3428004448835,22.12,3133.92,1.0415821520562365
PSU,amazon_usa,importacion,475,110.97343157894737,54.99,184.3679029511953,7.99,2585.0,1.6613697560576428
PSU,coolbox_pe,local,24,154.21833333333333,134.8,96.88604959330885,52.57,410.87,0.6282395062842216
PSU,falabella_pe,local,133,144.75195488721803,138.06,68.14535853665205,16.78,447.13,0.47077332109087433
RAM,amazon_usa,importacion,756,468.6221502645514,229.99,836.8682002217012,22.58,7962.0478000004405,1.785805898737957
RAM,coolbox_pe,local,17,112.13764705882352,114.51,39.69820800889691,49.9,205.29,0.35401320653778845
RAM,falabella_pe,local,132,349.0425,317.635,244.149246519716,67.55,1709.96,0.6994828610261387
SSD,amazon_usa,importacion,652,239.95133098159576,129.78,406.84935708017775,8.49,7962.0478000004405,1.6955494908731432
SSD,coolbox_pe,local,29,134.9548275862069,128.93,96.53311665732312,14.65,368.58,0.7152994700812713
SSD,falabella_pe,local,94,286.9617021276596,233.185,185.56369253256128,5.58,1241.1,0.646649678882969
SSD,hiraoka_pe,local,4,223.9075,208.325,74.16670518725593,155.43,323.55,0.33123814605252583
computadoras,falabella_pe,local,993,1291.7868469285017,853.09,1292.2740199855832,5.4,7962.0478000004405,1.0003771311484086
computadoras,hiraoka_pe,local,32,356.98375,22.665,600.8368283767824,5.4,2207.54,1.683092937358584
discos_ssd,falabella_pe,local,960,591.8891081250097,264.02,1242.1701117239393,5.4,7962.0478000004405,2.0986534380720303
laptops,falabella_pe,local,207,2399.5398531401647,1442.28,2532.5760971675013,5.4,7962.0478000004405,1.055442398196987
laptops,hiraoka_pe,local,29,1475.6624137931035,1030.03,1502.8717654060442,499.21,7535.77,1.0184387373145871
memorias_ram,falabella_pe,local,1084,531.1653287823032,143.93,1473.9759727713174,5.4,7962.0478000004405,2.7749852878206642
monitores,falabella_pe,local,2390,804.1316307113216,264.75,1779.1938197901625,5.4,7962.0478000004405,2.21256539581252
monitores,hiraoka_pe,local,30,301.32,168.655,474.89612130189715,5.4,2500.15,1.5760524402691396
procesadores,falabella_pe,local,834,1310.973883693048,997.21,1142.597308472547,5.4,7962.0478000004405,0.8715637456131622
tarjetas_video,falabella_pe,local,708,1411.2873748587651,1045.375,1452.578340580842,5.4,7962.0478000004405,1.029257659678426
