sku_local,source_local,title_local,model_key_local,price_local,category_local,sku_import,source_import,title_import,model_key_import,price_import,category_import,match_score,price_ratio,gap_usd,gap_pct,category
99638,hiraoka_pe,LENOVO,LENOVO,1030.03,laptops,B0D5NZ7N3P,amazon_usa,Lenovo,LENOVO,774.0,CPU,100.0,1.3307881136950903,256.03,33.07881136950904,laptops
149567278,falabella_pe,MONITOR G27Qi QHD 2K 27 IPS 180HZ 1Ms FreeSync Version 2026,180HZ,322.76,monitores,v1|176454841516|0,ebay_usa,"Z-EDGE UG27 1080P FHD 180Hz 1ms Curved Gaming Monitor, FreeSync, HDMI 2.0, DP1.4",180HZ,139.99,unknown,100.0,2.30559325666119,182.76999999999998,130.55932566611898,monitores
153995371,falabella_pe,Monitor Gaming 32 32G600A QHD Curvo 180Hz 1ms VA,180HZ,382.43,monitores,v1|206261773051|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,2.1853142857142855,207.43,118.53142857142858,monitores
153995373,falabella_pe,Monitor Gaming UltraGear OLED 27 27GX704A QHD 240Hz 0.03ms,240HZ,852.8,monitores,v1|127976408943|0,ebay_usa,ASUS ProArt 27 inch UHD 4K 240Hz OLED Professional Computer Monitor PA27UCDMR,240HZ,1299.99,unknown,100.0,0.656005046192663,-447.19000000000005,-34.399495380733704,monitores
149568249,falabella_pe,Monitor 24U411A-B 24 IPS FHD 1920 x 1080 120Hz 1ms MBR HDR10,120HZ,176.21,monitores,v1|267688232658|567492687923,ebay_usa,"32 Inch 2K Monitor 120Hz, 1440P IPS Computer Monitor, Frameless QHD PC Monitor f",120HZ,222.63,unknown,100.0,0.7914926110587073,-46.41999999999999,-20.850738894129268,monitores
149567286,falabella_pe,MONITOR G27Qi 180HZ 1MS 27 IPS FreeSync Version 2026,180HZ,322.76,monitores,v1|206261773051|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,1.844342857142857,147.76,84.4342857142857,monitores
149567286,falabella_pe,MONITOR G27Qi 180HZ 1MS 27 IPS FreeSync Version 2026,180HZ,322.76,monitores,v1|176454841516|0,ebay_usa,"Z-EDGE UG27 1080P FHD 180Hz 1ms Curved Gaming Monitor, FreeSync, HDMI 2.0, DP1.4",180HZ,139.99,unknown,100.0,2.30559325666119,182.76999999999998,130.55932566611898,monitores
149567286,falabella_pe,MONITOR G27Qi 180HZ 1MS 27 IPS FreeSync Version 2026,180HZ,322.76,monitores,v1|168120965009|0,ebay_usa,Acer Nitro 27 inch QHD 2K 1440P 180Hz IPS AMD FreeSync (AMD Adaptive Sync),180HZ,321.58,unknown,100.0,1.0036693824242802,1.1800000000000068,0.36693824242801387,monitores
149567286,falabella_pe,MONITOR G27Qi 180HZ 1MS 27 IPS FreeSync Version 2026,180HZ,322.76,monitores,v1|117317476039|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,1.844342857142857,147.76,84.4342857142857,monitores
149567284,falabella_pe,MONITOR 180HZ 1MS 27 2K IPS FreeSync Version 2026,180HZ,322.76,monitores,v1|206261773051|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,1.844342857142857,147.76,84.4342857142857,monitores
149567284,falabella_pe,MONITOR 180HZ 1MS 27 2K IPS FreeSync Version 2026,180HZ,322.76,monitores,v1|176454841516|0,ebay_usa,"Z-EDGE UG27 1080P FHD 180Hz 1ms Curved Gaming Monitor, FreeSync, HDMI 2.0, DP1.4",180HZ,139.99,unknown,100.0,2.30559325666119,182.76999999999998,130.55932566611898,monitores
149567284,falabella_pe,MONITOR 180HZ 1MS 27 2K IPS FreeSync Version 2026,180HZ,322.76,monitores,v1|168120965009|0,ebay_usa,Acer Nitro 27 inch QHD 2K 1440P 180Hz IPS AMD FreeSync (AMD Adaptive Sync),180HZ,321.58,unknown,100.0,1.0036693824242802,1.1800000000000068,0.36693824242801387,monitores
149567284,falabella_pe,MONITOR 180HZ 1MS 27 2K IPS FreeSync Version 2026,180HZ,322.76,monitores,v1|117317476039|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,1.844342857142857,147.76,84.4342857142857,monitores
149567282,falabella_pe,MONITOR GAMER G27Qi 27 IPS 180HZ 1Ms FreeSync Version 2026,180HZ,322.76,monitores,v1|206261773051|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,1.844342857142857,147.76,84.4342857142857,monitores
149567282,falabella_pe,MONITOR GAMER G27Qi 27 IPS 180HZ 1Ms FreeSync Version 2026,180HZ,322.76,monitores,v1|176454841516|0,ebay_usa,"Z-EDGE UG27 1080P FHD 180Hz 1ms Curved Gaming Monitor, FreeSync, HDMI 2.0, DP1.4",180HZ,139.99,unknown,100.0,2.30559325666119,182.76999999999998,130.55932566611898,monitores
149567282,falabella_pe,MONITOR GAMER G27Qi 27 IPS 180HZ 1Ms FreeSync Version 2026,180HZ,322.76,monitores,v1|168120965009|0,ebay_usa,Acer Nitro 27 inch QHD 2K 1440P 180Hz IPS AMD FreeSync (AMD Adaptive Sync),180HZ,321.58,unknown,100.0,1.0036693824242802,1.1800000000000068,0.36693824242801387,monitores
149567282,falabella_pe,MONITOR GAMER G27Qi 27 IPS 180HZ 1Ms FreeSync Version 2026,180HZ,322.76,monitores,v1|117317476039|0,ebay_usa,ASUS ROG Strix XG27ACS 27in LCD Gaming Monitor 2560x1440 180Hz 1ms HDMI DP,180HZ,175.0,unknown,100.0,1.844342857142857,147.76,84.4342857142857,monitores
153995371,falabella_pe,Monitor Gaming 32 32G600A QHD Curvo 180Hz 1ms VA,180HZ,382.43,monitores,v1|176454841516|0,ebay_usa,"Z-EDGE UG27 1080P FHD 180Hz 1ms Curved Gaming Monitor, FreeSync, HDMI 2.0, DP1.4",180HZ,139.99,unknown,100.0,2.7318379884277446,242.44,173.18379884277445,monitores
153995371,falabella_pe,Monitor Gaming 32 32G600A QHD Curvo 180Hz 1ms VA,180HZ,382.43,monitores,v1|168120965009|0,ebay_usa,Acer Nitro 27 inch QHD 2K 1440P 180Hz IPS AMD FreeSync (AMD Adaptive Sync),180HZ,321.58,unknown,100.0,1.1892219665402077,60.85000000000002,18.92219665402078,monitores
149570152,falabella_pe,"Procesador Core Ultra 9 285K 3.70/5.70GHz, 36 MB Smart Caché, LGA1851",CORE ULTRA 9 285K | LGA1851,876.07,CPU,v1|127966436357|0,ebay_usa,Intel Core Ultra 9 285K 24-Core LGA1851 3.7GHz Desktop CPU SRQD5 Open Box,CORE ULTRA 9 285K | LGA1851,449.99,unknown,100.0,1.9468654858996868,426.08000000000004,94.68654858996868,CPU
149570192,falabella_pe,"Procesador Ryzen 9 9950X3D 4.30 / 5.70 GHz, 128 MB L3 Cache, 16-Cores, 4nm, TDP: 170W",170W,1109.84,procesadores,v1|306586178250|0,ebay_usa,AMD Ryzen 9 9950X3D 16-Core 32-Thread 4.3GHz 128MB Cache 170W Desktop Processor,170W,839.99,unknown,100.0,1.321253824450291,269.8499999999999,32.125382445029096,procesadores
